R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
TSPAN6 2044 1943.00002 1863 3619 2459.00001 3796.99999
TNMD 0 0 0 0 0 1
DPM1 4079 2845.00001 3477 1647 1044.00001 1643
SCYL3 418.99999 289 363.00001 76.99999 54.00001 269.99999
FIRRM 78.99999 56 61.00002 369 253 96.99999
FGR 1 1 4 0 4 0
CFH 511.00002 419.00001 420 134.00001 98 132.99999
FUCA2 2453 2442 2165.99999 2140.00002 1856 1880.00001
GCLC 568 438 594 349 243 375.00001
NFYA 396.00001 364 360 208 106 146
STPG1 256.99999 231.99999 207.99999 121 107.99999 93
NIPAL3 618.99999 576.00001 576.99999 621.99998 551.99999 420
LAS1L 1550.99997 1435 1365.00002 2293.99999 2036.99999 2170.99998
ENPP4 21 18 21 53 41 44
SEMA3F 19 18 16 2 7 5
CFTR 1 1 0 2 0 2
ANKIB1 744 568 620.00001 232.00001 313.99999 193.00001
CYP51A1 1965 1942.00001 2150 1105.00001 736.00001 741
KRIT1 1566.00002 1045.00001 1367.00001 507 328.99997 429.00002
RAD52 112 126.99999 115.00001 128.99999 112.00001 93
BAD 1040 1148 1085 1289.00001 1826.00001 1475
LAP3 1986 1866 1921 1641.00001 1113 1422
CD99 3157.00001 2868.00002 2644.99998 2118.00001 2027.00001 2055
HS3ST1 149 156 140 521.00001 362 450
AOC1 38 24 29 77 79 90
WNT16 2 0 0 9 6 16
HECW1 65 66 53 7 4 1
MAD1L1 564.00001 501.99999 514 629.00003 841.00001 631.00001
LASP1 2297 2236.99999 2276 4468.00001 6525.99999 3914.00001
SNX11 625.99998 772.00002 818 820.99999 716.00001 826
TMEM176A 1 0 0 0 0 4
M6PR 1110.00001 1036 941.99998 987 507.00001 951
KLHL13 27.00001 22 15 7 3 2
CYP26B1 75 42 86 1 1 0
ICA1 165.00001 137 141 1235.00001 701.00001 705.00001
DBNDD1 173 125 113 717.99999 950 726
ALS2 263 212 221.99999 91 99 114.00001
CASP10 115 116.00001 103 157 112 106
CFLAR 2220.00001 2290.99999 2476 1274.99999 1273 1037.00001
TFPI 4295 3912.99997 3968.99999 1890.99999 1240.99999 1444
NDUFAF7 459.99999 441.00001 382.99999 211.00001 138 207.00001
RBM5 659.00003 629.00001 570.99998 511.99999 494 508
MTMR7 9 5 11 5 1 0
SLC7A2 8 4 13 28 36 32
ARF5 10146.99999 9926.99999 8987 8090 7356.00001 7745.99999
SARM1 17 20 7 46 27 31
POLDIP2 1662.99999 1910 1653 1351 1727 1308
PLXND1 53 48 45.99999 198.99999 345.99999 187.99999
AK2 5511.00001 5390.00001 5287 5399 3469.99998 4845.99999
CD38 2 1 0 7 1 0
FKBP4 1352 1447.00001 1227.00001 3253.00001 3673.00001 3113.99998
KDM1A 1837.00002 1756 1976.00002 2337.00002 2083.99998 1980.99998
RBM6 701 725 787 401 322.99999 268.99999
CAMKK1 28 8 14 64 87.99999 40
RECQL 307.00001 269.00001 254 72.00001 73.99999 62
VPS50 276 248 246.00001 101 80.99999 102.99999
HSPB6 1220 1311 1136 2 1 6
ARHGAP33 13 12 16.00001 23 18 13
NDUFAB1 10335 8649 8558 6860 4069 4966
PDK4 33 24 19 20.00001 19 21
SLC22A16 1 0 0 0 0 0
ZMYND10 70.99999 69.99999 53 90.99999 109 129
