"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ARF5-201",4561.46665373603,0.18121210070399,0.201343076053131,0.360161018211062,0.47960075172852
"2","M6PR-201",666.940200931975,0.278719116176251,0.168994534445379,0.0948633522020211,0.164756468839155
"3","FKBP4-201",864.440409373822,1.51699015308976,0.215874318611663,7.03833916109358e-13,1.13720466936169e-11
"4","NDUFAF7-201",87.9879906030362,-0.240260238114847,0.285523434263556,0.380163350780954,0.499435531936448
"5","FUCA2-201",800.373854475063,0.0884095580688242,0.197139065808107,0.649566555217475,0.746313346546618
"6","DBNDD1-201",75.1624700582997,2.48711927076439,0.38942773711482,2.6699821051163e-11,3.54425484659007e-10
"7","HS3ST1-201",223.259868788982,2.17733874934537,0.22030914401956,1.02010882385912e-23,4.88126431656008e-22
"8","CYP51A1-201",170.621107084237,-0.955176472854251,0.308787167947124,0.00115572355738833,0.00371057682353466
"9","HSPB6-201",244.82854542815,-12.344929813775,3.20116114011356,2.81355431506939e-20,1.00329196388e-18
"10","ZNF195-201",47.7361754145399,0.406117750115031,0.349025571643359,0.213950585491207,0.317832970520277
"11","CCL26-201",187.783674457987,0.28353317791791,1.0347671480174,0.353270272760055,0.472658560098916
"12","RALA-201",1470.0166677537,-0.961934386122631,0.163885045034375,2.50560324309524e-09,2.48434523989122e-08
"13","BCAP29-201",250.522639044859,-1.36609422529311,0.188536062411909,1.6827378863679e-13,2.94630431800803e-12
"14","BAIAP2L1-201",41.4077680049346,-1.64697395077163,0.742608720394507,0.00583706604742435,0.015372839829004
"15","DVL2-201",27.24906318633,0.229431114357796,0.446317734630868,0.568139286270917,0.67721888416197
"16","GGCT-201",32.6357576997059,-0.170423458356277,0.423113111783516,0.655204843218003,0.751365078811141
"17","RPAP3-201",66.7861524802157,-0.520277531640108,0.409685432527405,0.165171801484401,0.258155871192189
"18","PRSS21-201",287.579905972286,0.773693903277445,0.198326317262118,6.75055488434768e-05,0.000292458746527533
"19","CX3CL1-201",76.8859040797307,0.46184961763725,0.327393045827766,0.136741394314278,0.221913673764326
"20","TRAPPC6A-201",325.378878240867,0.610383003112417,0.255291555865531,0.0133363910686653,0.0314904198219835
"21","SPATA20-201",107.339316497881,1.0748474847504,0.293706737626485,0.000131240075733693,0.000532908477965607
"22","RHBDD2-201",961.36572592489,1.1503263696871,0.169057921909971,5.06885445217397e-12,7.41423426531574e-11
"23","RPUSD1-201",80.4794977629814,0.767433130014253,0.304792209879961,0.00819287552973244,0.0206704883520537
"24","TSR3-201",82.2174799114512,-1.08120286495085,0.527086979557385,0.0179106243416273,0.0406249895175126
"25","NDUFAB1-201",5987.44250304471,-0.128811076787841,0.171288684185873,0.444203027485076,0.563090396818216
"26","YBX2-201",26.3378731378975,2.05531537968073,0.66218215599135,0.000322441733838338,0.00119351408059103
"27","LRRC23-201",14.0392758246135,0.616951323952566,0.552663094539698,0.185568119383496,0.283388738780279
"28","CRY1-201",17.6845771526347,-0.947144220858139,0.620488766245453,0.062330929614113,0.116145684621272
"29","STARD3NL-201",515.399184268297,-0.807067836326559,0.216671967260721,0.00013443818813226,0.00054451235034072
"30","CD9-201",6929.94276295656,0.440080538979898,0.159971483282319,0.00536174816374119,0.0142992721661093
"31","CD74-201",141.735241951995,-4.66504607103166,0.412108418595815,1.02429048580319e-30,8.25106515794127e-29
"32","RPS20-201",62021.4888069324,0.326040984866806,0.198474056843487,0.0958250247362916,0.166066058191032
"33","SS18L2-201",1291.75096322451,-0.117899971148549,0.189723715697764,0.525567741663968,0.638678315976932
"34","TSPAN9-201",28.1389441249111,-0.501216375636807,0.435116598728425,0.202567740532005,0.304046477044332
"35","QPCTL-201",27.005826227052,0.878015979604269,0.463509206790558,0.0338902603230941,0.0696785245754103
"36","PPP5C-201",62.3674124080244,-0.0388739984467703,0.348175852044695,0.903569095877065,0.937912595395893
"37","UBR7-201",156.142869862509,-2.12505802900231,0.228853394701884,3.0958573861946e-21,1.19945727173775e-19
"38","ERCC1-201",84.5002303009893,0.85230352773074,0.27134591786625,0.00108963947013501,0.0035160498983002
"39","GPRC5A-201",603.229061021906,1.22558814601136,0.237913671766794,1.20113712421172e-07,8.89855489440364e-07
"40","HEBP1-201",946.779313437316,1.12337684186088,0.150389845091828,4.21991434373054e-14,7.92791625952196e-13
"41","COX15-201",244.382213014113,0.0848543131424652,0.179193330652958,0.63142733295149,0.731276955664927
"42","SNAI2-201",174.257406550349,-2.07949464118055,0.243313471085334,3.06291624398293e-18,9.12113648507363e-17
"43","RTF2-201",10.3932741702972,1.02262865391257,0.630530832101668,0.0483774629094072,0.0942548202882605
"44","B4GALT7-201",61.6830207009125,-0.016994273672239,0.877897441030312,0.960979794446849,0.975485314212535
"45","CHPF2-201",20.2510775793753,-0.899538938464915,0.534089484963169,0.0491742885328217,0.0955744677490027
"46","GABARAPL2-201",4252.24948985243,0.167801130759922,0.127344325550355,0.184309195373166,0.281944016678505
"47","FAM136A-201",2323.04171752221,0.912520914108599,0.176047465248181,1.36131905986154e-07,9.98538454848978e-07
"48","NSMAF-201",7.74493501318226,0.12677844554142,0.650664828162716,0.803527691679439,0.866689101602416
"49","MRI1-201",23.6141375374384,1.3894307400781,0.452594980875458,0.000751938102396264,0.00253636117865069
"50","PSMA4-201",870.24401822737,0.331595279439776,0.672920421493638,0.522929136162404,0.636300536580139
"51","CTNS-201",88.1436992319213,0.444416868650715,0.345409493585175,0.171951272657671,0.266667368413843
"52","GOPC-201",11.7122695585825,-0.567309832269857,0.5515932691609,0.224833007346836,0.330982800849661
"53","MRPS10-201",597.38396106099,-0.407379570411845,0.236510775953455,0.0759537780568901,0.137203267387755
"54","GRN-201",3905.58901551458,-0.676657377452429,0.226043504273089,0.00205000178368471,0.00615632827461919
"55","VAMP3-201",825.227930058605,-0.337406941761374,0.161467110418516,0.0341716814571577,0.0701798087446433
"56","RCN1-201",1181.46599200147,-0.911025584136809,0.155385998344581,3.14388604139095e-09,3.06371557923885e-08
"57","NFE2L3-201",15.3497898654514,-0.395617447943748,0.572631090616449,0.402400272509764,0.521731803067604
"58","SIKE1-201",211.069063567192,0.126202879229969,0.186047267682179,0.491431417718116,0.607648123702694
"59","CDC27-201",11.2942917181051,-0.698410623543436,0.666325602715059,0.183818341682689,0.281330504622891
"60","YIPF1-201",39.7384005192094,0.0549961656890832,0.407716381673761,0.885232735263553,0.926220710811195
"61","ADCK2-201",26.6380984151059,0.432232259945456,0.575450409945457,0.364431640295917,0.484049949750105
"62","SLC2A3-201",26.2399915651272,-5.12264775900441,0.889723693103596,5.86854118307921e-09,5.43282807994526e-08
"63","MRPS35-201",1679.81619598615,0.795147345692438,0.196783524692748,3.75591886917579e-05,0.000172215493768065
"64","APPBP2-201",31.4616398310624,-1.24485126041201,0.481107664869761,0.00393054269961164,0.010905782829278
"66","CA11-201",83.7349066764985,0.545118914730921,0.285702260739745,0.0463684532828595,0.0910615752711002
"67","ISOC2-201",227.256930007455,0.541885976505733,0.191900093179685,0.00397806496752497,0.011015801518827
"68","TRIB2-201",5.74572441218969,-5.59912970109584,2.64323905970773,0.000129616290810275,0.000527175302652614
"69","GPKOW-201",386.980333628289,-0.198557289456339,0.180995389740033,0.263926537927598,0.376025632418287
"70","ST6GALNAC1-201",25.7980664182581,9.29379557481694,2.81807116547339,2.76223401304909e-11,3.65804071485638e-10
"71","LMCD1-201",145.431573716622,-2.04872464442938,0.25956135469791,6.16841687189838e-16,1.43442915295215e-14
"72","PSMC4-201",1115.42464990222,1.16166752050995,0.362871480314708,0.000629334101349956,0.00216155028613971
"73","PRSS22-201",193.883713251075,-1.17204055472889,0.231942924154562,2.0863857193006e-07,1.47296726979879e-06
"74","TMEM161A-201",467.554505309466,0.705177327240535,0.203936781798552,0.000409009559796793,0.00147161955046423
"75","TNFRSF1A-201",413.024004093753,0.134197146217002,0.212604710403482,0.519896660504444,0.633436660246818
"76","GOLGA5-201",80.4418004900535,-1.74996314490544,0.482495920212692,7.31980870178979e-05,0.000314746152204072
"77","METTL22-201",24.0983315198948,-0.61382902975939,0.500228982163488,0.161004437521058,0.253197568388102
"78","PIGB-201",56.0090562363691,-0.66223755080135,0.372091781824482,0.0558285123684166,0.106077015609903
"79","FSTL3-201",30.5415039689852,-2.08019084833446,0.538898635774715,2.35322350887223e-05,0.000112843869930802
"80","TRIP13-201",76.4959332940005,-0.424084609704786,0.310257194028164,0.150918102043616,0.240083823056385
"81","KRT20-201",164.955596940616,9.94153048674738,1.36008845675659,2.79504452827574e-16,6.79611587038077e-15
"82","HSD17B10-201",2685.37644852802,0.46243225005565,0.183596466199674,0.0104290254996311,0.0254520049083193
"83","TIMM21-201",314.036241089805,-0.763311137171815,0.192083296792572,5.01689381113898e-05,0.000223935260128854
"84","MKRN2-201",82.7551568800637,-0.522266877502606,0.251730022184296,0.0319988351838234,0.0663563214285158
"85","KEAP1-201",36.3132516621469,-1.8010234198897,0.465144637271565,2.74889444362981e-05,0.000129788619377284
"86","ISOC1-201",220.862976869871,0.45129936829173,0.200126756245671,0.0214427397190949,0.0473605595492072
"87","MNT-201",89.089420411294,0.235525289252659,0.297378163656686,0.407887334466178,0.527410876380599
"88","LAPTM4A-201",4781.55221555214,-0.186974404554985,0.181695694117713,0.294401653507234,0.410461376456294
"89","ASNS-201",17.9970526510691,-0.236672946176426,0.502138089909811,0.588338328698824,0.694914077621141
"90","ALDH3A2-201",246.944910897094,-0.681718866848954,0.204322462965502,0.000648558668801369,0.00222110763559227
"91","STK10-201",7.93881519314698,-0.729958820362763,0.683647162993777,0.170615938364574,0.264924083817846
"92","MRPS34-201",228.382017657704,0.542682485750635,0.245047633562836,0.0222550135823177,0.0488592638060824
"93","CA12-201",13.1325335023442,-5.28670876976283,1.38680945721259,8.70861282785799e-06,4.55607130323236e-05
"94","MAP2K5-201",22.419938013426,-0.259645770815082,0.481351162460109,0.539123325150085,0.650351634529789
"95","TIGAR-201",305.016866238548,-0.433857006563456,0.170590023582381,0.00981489002414116,0.0241293936986077
"96","TRAM2-201",9.38699552618358,-1.08522228134184,0.700058772703712,0.0491561500045978,0.0955475065708673
"97","NDUFB4-201",17909.8856737812,0.901387906687812,0.193662716305065,2.18168158767516e-06,1.27529567931082e-05
"98","ERLEC1-201",168.502988992723,-0.919394817438332,0.216723888636657,1.38262389390348e-05,6.94381688272582e-05
"99","TMEM38A-201",37.3642845519807,-0.757615608863375,0.430581179107936,0.0525665191441362,0.100984355298429
"100","ACTR6-201",124.338784510602,-0.203633135010952,0.255380832908037,0.409513170646975,0.528780375889343
"101","CCN5-201",116.688446213613,-3.41152114994846,0.308405949541734,2.94705094343486e-29,2.15674048455164e-27
"102","CTSA-201",118.726131865204,-1.47161116204686,0.279852417998694,5.34109166143614e-08,4.21899141679721e-07
"103","OSTM1-201",25.9538784143077,-1.260046701194,0.476694185816048,0.00334339867883057,0.00946190699023527
"104","ACTN1-201",401.390296574771,-1.57866632302227,0.244152351401683,3.16240759902538e-11,4.16996542848272e-10
"105","DELE1-201",23.3782921924053,1.19349429821596,0.594918094217741,0.0175429619826534,0.0399285588616262
"106","PCDHB2-201",42.3918935006527,0.143304952042856,0.444997120817611,0.723319990070271,0.805344033517293
"107","IFT25-201",823.398844305511,0.787314864797033,0.19624404324597,4.22171962051475e-05,0.000191108124483136
"108","STRADB-201",81.7310809297295,0.0894932518547895,0.593617141183627,0.856689862804118,0.90673564550692
"109","PLOD1-201",164.143277979219,-1.11874195373886,0.382469793909617,0.00163372401416758,0.00505047150376433
"110","OXCT1-201",111.095286156473,-2.54541218628973,0.291230463794736,4.60705924610143e-19,1.46596042417851e-17
"111","ZNF324-201",38.1624034217048,-0.589426632147944,0.342305573811079,0.0669628295396516,0.123451519281383
"112","ZNF416-201",56.7353347405084,-0.73780100524144,0.34616021195573,0.0229863382280649,0.050200512802739
"113","RPS5-201",116131.193349703,0.883469816304933,0.114307371346259,7.17960279345105e-15,1.46296656011413e-13
"114","RRN3-201",38.9091817962251,-1.33311444973042,0.460538315176732,0.00144342188598815,0.00453097697151928
"115","DIMT1-201",507.956439925527,0.0434668939518169,0.215070945780172,0.837959937588244,0.892521990123717
"116","EIF2AK1-201",164.926171685859,-0.359489890926595,0.290084644475242,0.195206449837195,0.295029576679094
"117","EPDR1-201",65.2368879161647,-6.11996660896827,0.77276730225082,2.19791709806297e-15,4.81135439824263e-14
"118","MRPL28-201",1812.01191456192,0.992781749556741,0.166940150765626,1.58807475686597e-09,1.62315591534717e-08
"119","CEACAM6-201",404.132047332874,7.05025645442379,0.496703416005336,1.53324084358439e-46,2.76898350413137e-44
"120","RBM22-201",269.546916429393,0.0469464393127016,0.210496030431257,0.821419057283245,0.879799998507795
"121","ZW10-201",48.7580082642112,0.045194478612018,0.343804749775565,0.89087855767008,0.929808203511165
"122","PPP1R15A-201",141.531510032644,-0.163108309230244,0.897550879862889,0.704653786723404,0.790463201917743
"123","TRIP6-201",179.084655822922,0.133004380987942,0.943187531900117,0.741729494471703,0.819498075235523
"124","LAMP2-201",159.810569626468,-1.15729213456891,0.466716069598259,0.00546151619997714,0.0145290085272378
"125","SLC22A4-201",13.9642206626047,-2.15804242258253,0.689966476905663,0.000351806422100222,0.00128836517032091
"126","TFAP2C-201",8.42806291264567,-0.982462831072146,0.694959264459205,0.0732938736392437,0.133128640301502
"127","SULT2B1-201",363.2151105817,0.0758339724938378,0.181895276096109,0.672894840655724,0.765321235783482
"128","EPS8L1-201",16.0097989913295,1.54190887452443,0.7143224128166,0.00767774745542785,0.0195359023425578
