"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"1","LCN2",45347.0858120488,8.91916110644589,0.21310378719357,0,0,"Upregulated"
"2","PDZK1IP1",10849.6716400501,8.01936434881033,0.191961986181301,0,0,"Upregulated"
"3","CRIP1",12840.9828965556,-7.92957217698583,0.160938418318222,0,0,"Downregulated"
"4","PLAAT4",26378.6415711741,5.40521602497464,0.134908783503339,0,0,"Upregulated"
"5","VAMP5",2910.48113538375,6.26176045860918,0.16335187291908,1.48219693752374e-322,5.81821585855569e-319,"Upregulated"
"6","MT1E",33302.4843391404,-12.9005776586503,0.338252476016704,7.79691369148903e-316,2.55050041704923e-312,"Downregulated"
"7","DHRS2",7827.80450242483,-6.29541201986405,0.168792087673243,4.82821717610491e-306,1.35376312164873e-302,"Downregulated"
"8","PLTP",4152.10806415544,-8.19184809934818,0.222783932548848,2.56520758831259e-297,6.29341616697641e-294,"Downregulated"
"9","ENSG00000291105",2708.32697943775,-7.05255393288651,0.199170714993916,8.66322830593031e-276,1.88925757733882e-272,"Downregulated"
"10","VIM",12891.8687352733,-4.54950488375504,0.137190038174932,2.79045000793939e-242,5.47681623058264e-239,"Downregulated"
"11","NAPSA",2411.57896059319,6.75444698537198,0.20564578818426,2.13235174213874e-237,3.80469705845065e-234,"Upregulated"
"12","TBK1",3211.96201119243,4.76066375659216,0.158109843372114,2.95288544598608e-200,4.8296902206974e-197,"Upregulated"
"13","HPGD",1844.12671134278,5.19234733452639,0.174403018205004,8.93246350212177e-196,1.34859585504726e-192,"Upregulated"
"14","SAA1",2079.99046554033,5.40831451693579,0.182195761111265,3.09729667440836e-195,4.34218870204378e-192,"Upregulated"
"15","SFTA2",18108.8188476495,13.3871903546032,0.449789815125555,1.18027447485201e-192,1.54434980786136e-189,"Upregulated"
"16","UBE2I-AS1",1338.41357055241,-5.12134429566297,0.174273612728026,9.19552433332798e-191,1.12800347556393e-187,"Downregulated"
"17","LANCL2",3765.99115433673,4.52581920186324,0.155667480166226,6.05967035701783e-187,6.99606765277582e-184,"Upregulated"
"18","SPARC",1660.67882986889,-4.21553813255132,0.150043158246609,1.16723890941098e-174,1.27274433750052e-171,"Downregulated"
"19","SEC61G",132813.153570158,3.68898043803186,0.132516158394967,2.08132157035028e-171,2.15000518217184e-168,"Upregulated"
"20","PPP1R14A",956.561567102788,7.02851169889598,0.253792907164574,3.99288187164841e-169,3.91841462474217e-166,"Upregulated"
"21","FOLR1",2723.05806742495,9.65364198245621,0.350299120224986,5.89049059047659e-167,5.50536470568019e-164,"Upregulated"
"22","OS9",26017.4520307309,4.061658225674,0.148096412853215,1.33555004493158e-166,1.19149276053964e-163,"Upregulated"
"23","PIP4K2C",4010.45736172435,3.68694010016692,0.134691027772203,6.19967702763602e-166,5.29048091397444e-163,"Upregulated"
"24","DEFB4A",2282.56410852483,8.62155413477583,0.316139207510179,1.20302017163075e-164,9.83819871191527e-162,"Upregulated"
"25","SNHG5",24007.8507593535,-3.48648816568761,0.128674766486588,2.46602282913655e-162,1.93602520269852e-159,"Downregulated"
"26","BEX2",1054.57879032404,6.22842437355048,0.231177522323206,6.57275701757425e-161,4.96167315322807e-158,"Upregulated"
"27","S100A2",23013.8177183367,-3.70042095562647,0.13734611205441,4.94390103732785e-160,3.59384983924569e-157,"Downregulated"
"28","SUN3",1178.93243818149,-6.88926769996287,0.255419115365195,7.08032354108524e-160,4.96305393360285e-157,"Downregulated"
"29","VOPP1",9674.89419828515,3.73329013032286,0.139232894348081,2.55732450544424e-159,1.73077958856393e-156,"Upregulated"
"30","SMIM22",7727.94641442531,3.41423625965055,0.128117967663725,2.13135770141236e-157,1.39440525352068e-154,"Upregulated"
"31","TNNI3",1584.14655206818,-4.14020306572056,0.159629127280067,2.7521732829548e-149,1.74248080724368e-146,"Downregulated"
"32","SERPINE1",1380.2976763697,-7.94198915077882,0.30755012861803,6.42985396801234e-147,3.94371074469307e-144,"Downregulated"
"33","LOX",1010.69606157257,-6.27257718048911,0.246276628345751,1.08321006279603e-143,6.44247390984778e-141,"Downregulated"
"34","NUDT19-DT",1344.21134052124,-7.54034183585292,0.29704477712314,1.7043228586322e-142,9.83845433716886e-140,"Downregulated"
"35","PLAAT3",9905.06607824443,4.05877429883253,0.160437892584277,2.82531329186719e-142,1.58435497084221e-139,"Upregulated"
"36","ARSL",660.83069630205,5.68852204761747,0.225876949013712,1.16833791843046e-140,6.36971342362076e-138,"Upregulated"
"37","LY6D",1586.15200896677,4.72689626479571,0.190197021317782,2.1672986076393e-137,1.14966404789558e-134,"Upregulated"
"38","IFITM2",7560.51522056111,-4.5789350894203,0.184590413038879,5.7119426527263e-137,2.95021838013314e-134,"Downregulated"
"39","ELF3",9654.96131716813,4.0717086143952,0.164169299632926,8.75139538268592e-137,4.40419582502504e-134,"Upregulated"
"40","CASC8",4052.9593090635,3.58498417992772,0.144751012627577,2.22404824234026e-136,1.09128487131031e-133,"Upregulated"
"41","MUC5B",1196.19579101038,7.37689047962501,0.300659786911523,1.38645075882283e-133,6.63704123010138e-131,"Upregulated"
"42","H2BC5",1284.20452023818,-3.99716517931958,0.165205053398198,3.0003657534324e-130,1.4020994914909e-127,"Downregulated"
"43","C3",768.240571577747,-5.81263175054828,0.241250482573593,1.82664990329957e-129,8.3375948028048e-127,"Downregulated"
"44","CEACAM6",1102.95739383516,7.17340009811276,0.297582656422009,3.59934966228196e-129,1.605555359582e-126,"Upregulated"
"45","FKBP11",1131.29412274803,-4.93520968187351,0.205761676350186,1.03951321167228e-127,4.53389462344265e-125,"Downregulated"
"46","FA2H",936.830426412096,8.1054517633851,0.339603188427875,5.97487635231285e-126,2.54932387319227e-123,"Upregulated"
"47","LINC00649",513.729208093064,5.27298700930172,0.222827625766309,7.12247771782816e-125,2.97431638654922e-122,"Upregulated"
"48","ZNF677",1217.38261925759,-3.4435244112603,0.145830552735719,3.23050851605343e-124,1.3209414717621e-121,"Downregulated"
"49","CDKN2A",13966.9407255487,3.44753158931184,0.147175406111275,3.34313655536431e-122,1.339096758615e-119,"Upregulated"
"50","ARHGDIB",5250.3561127824,4.53613826680704,0.194547483874299,2.61267150147655e-121,1.0255780711896e-118,"Upregulated"
"51","BIK",1122.3526681603,4.19737046835336,0.181852514915274,6.26997715897722e-119,2.41295768037737e-116,"Upregulated"
"52","AIF1L",536.419131200723,5.00116643527755,0.216671442846408,8.06751663970705e-119,3.04502209783712e-116,"Upregulated"
"53","ENSG00000255836",566.622076224156,6.71491727349687,0.293421660027336,2.2886304210504e-116,8.47527344791628e-114,"Upregulated"
"54","CDK4",67603.3937757556,4.31635454532624,0.190411029018105,1.33844035219133e-115,4.86473496156654e-113,"Upregulated"
"55","PPP1R14D",798.010268680922,7.65074762700341,0.336583591117204,1.17548505645818e-114,4.19477185510994e-112,"Upregulated"
"56","ENSG00000310458",730.186811728048,-5.97107198222789,0.262946691347332,2.14400940615572e-114,7.51437010975328e-112,"Downregulated"
"57","LCP1",1235.92095588655,4.38825320020111,0.196142579732247,6.31137668856695e-112,2.17321737309655e-109,"Upregulated"
"58","TMEM53",2201.13463478213,3.0526675957299,0.136379532493223,6.71936184107538e-112,2.27380887680666e-109,"Upregulated"
"59","ZNF114",1229.81286431664,-4.7736450026038,0.216168329723485,8.62642244930898e-109,2.86967446462012e-106,"Downregulated"
"60","TMEM125",992.94934640528,5.23491147594697,0.238804615040781,1.2928561254241e-107,4.22914786228313e-105,"Upregulated"
"61","MRPL23",2584.74466358469,2.7872755787221,0.12785421103934,3.10776150975758e-106,9.99935002492001e-104,"Upregulated"
"62","S100P",1792.57927927717,3.52037379765436,0.162092003548727,1.44004808559984e-105,4.55868125420452e-103,"Upregulated"
"63","BEX3",8309.45709820228,13.2188068595741,0.598052323513029,3.18839868183756e-105,9.93312713149616e-103,"Upregulated"
"64","B4GALNT3",817.715882129311,4.00602543357485,0.186316792187746,1.31037036141665e-103,4.01853735680071e-101,"Upregulated"
"65","SPSB2",1153.74646312723,3.61586867274966,0.168160960562123,1.59864281787924e-103,4.8271634748486e-101,"Upregulated"
"66","METTL27",1110.70776143399,3.96468279012912,0.185461359637016,1.97028696082426e-102,5.85921548183301e-100,"Upregulated"
"67","DMAP1",1283.63212112542,3.56582056713595,0.167114450730312,4.95218876019159e-102,1.45069565367583e-99,"Upregulated"
"68","APOBEC3G",477.431399360763,-5.34862984462063,0.251954986471643,5.07371930845183e-101,1.46443954216153e-98,"Downregulated"
"69","MUC20",936.819735336619,4.28616104206893,0.20300686554274,5.07971538655015e-100,1.44492136075101e-97,"Upregulated"
"70","CYP2S1",407.510505114028,4.66812442958982,0.221105411682145,7.06148082768503e-100,1.97993834578534e-97,"Upregulated"
"71","CD40",460.234633200313,-4.66046037613485,0.221406005557819,3.35995653965157e-99,9.2881502822171e-97,"Downregulated"
"72","AIM2",460.822512480994,-4.64445142426687,0.220902170217103,5.25864673018057e-99,1.4334924912952e-96,"Downregulated"
"73","RESF1",713.473295958155,-3.47227971278721,0.167019699051245,5.29922897478526e-97,1.42476667243987e-94,"Downregulated"
"74","LSP1P5",411.324488056472,6.0628149108441,0.291344778343681,7.23372982764212e-97,1.91860020712341e-94,"Upregulated"
"75","CALB2",509.642719118058,-5.42036286983983,0.262027734628373,4.79597915259695e-96,1.25507577104027e-93,"Downregulated"
"76","ENSG00000268756",1077.6572497112,-8.57618549430655,0.410819687146562,6.41365564202587e-96,1.65632656955318e-93,"Downregulated"
"77","ZNF90",477.704887656033,-5.3306427171419,0.258003426655575,1.29745024297317e-95,3.30715011932914e-93,"Downregulated"
"78","ENSG00000287781",3403.88269756432,11.7238129578524,0.56165062842556,6.09107437228473e-95,1.53268611160042e-92,"Upregulated"
"79","CSTA",604.532391105495,-6.96070673526102,0.336841493712985,6.60251934671189e-95,1.64034996478373e-92,"Downregulated"
"80","RPL7P23",471.131586897804,4.29905224309431,0.209139842214778,7.99977514078672e-95,1.96264483360276e-92,"Upregulated"
"81","ENSG00000235277",503.811734023659,-5.68255986207584,0.278087399914721,1.20783714711522e-93,2.9266937884482e-91,"Downregulated"
"82","TSPAN31",7164.73107460843,3.56945813981577,0.175553406504669,1.13670451645069e-92,2.72074384687534e-90,"Upregulated"
"83","CHI3L1",479.406210233435,-4.65967695108626,0.229976685068825,2.02682924644926e-92,4.79284067711563e-90,"Downregulated"
"84","SYCE3",491.691359202098,-4.52916513966062,0.224196966179335,1.61938706220051e-91,3.78377498450113e-89,"Downregulated"
"85","CAPS",1394.61762802713,-3.29086121520663,0.163347530488307,2.47954959398437e-91,5.72542586836838e-89,"Downregulated"
