"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp","size"
"1","CRIP1",12840.9828965556,-7.92957217698583,0.160938418318222,0,0,"Downregulated",3
"2","MT1E",33302.4843391404,-12.9005776586503,0.338252476016704,7.79691369148903e-316,2.55050041704923e-312,"Downregulated",3
"3","DHRS2",7827.80450242483,-6.29541201986405,0.168792087673243,4.82821717610491e-306,1.35376312164873e-302,"Downregulated",3
"4","PLTP",4152.10806415544,-8.19184809934818,0.222783932548848,2.56520758831259e-297,6.29341616697641e-294,"Downregulated",3
"5","ENSG00000291105",2708.32697943775,-7.05255393288651,0.199170714993916,8.66322830593031e-276,1.88925757733882e-272,"Downregulated",3
"6","VIM",12891.8687352733,-4.54950488375504,0.137190038174932,2.79045000793939e-242,5.47681623058264e-239,"Downregulated",3
"7","UBE2I-AS1",1338.41357055241,-5.12134429566297,0.174273612728026,9.19552433332798e-191,1.12800347556393e-187,"Downregulated",3
"8","SPARC",1660.67882986889,-4.21553813255132,0.150043158246609,1.16723890941098e-174,1.27274433750052e-171,"Downregulated",3
"9","SNHG5",24007.8507593535,-3.48648816568761,0.128674766486588,2.46602282913655e-162,1.93602520269852e-159,"Downregulated",3
"10","S100A2",23013.8177183367,-3.70042095562647,0.13734611205441,4.94390103732785e-160,3.59384983924569e-157,"Downregulated",3
"11","SUN3",1178.93243818149,-6.88926769996287,0.255419115365195,7.08032354108524e-160,4.96305393360285e-157,"Downregulated",3
"12","TNNI3",1584.14655206818,-4.14020306572056,0.159629127280067,2.7521732829548e-149,1.74248080724368e-146,"Downregulated",3
"13","SERPINE1",1380.2976763697,-7.94198915077882,0.30755012861803,6.42985396801234e-147,3.94371074469307e-144,"Downregulated",3
"14","LOX",1010.69606157257,-6.27257718048911,0.246276628345751,1.08321006279603e-143,6.44247390984778e-141,"Downregulated",3
"15","NUDT19-DT",1344.21134052124,-7.54034183585292,0.29704477712314,1.7043228586322e-142,9.83845433716886e-140,"Downregulated",3
