"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"1","LCN2",45347.0858120488,8.91916110644589,0.21310378719357,0,0,"Upregulated"
"2","PDZK1IP1",10849.6716400501,8.01936434881033,0.191961986181301,0,0,"Upregulated"
"3","PLAAT4",26378.6415711741,5.40521602497464,0.134908783503339,0,0,"Upregulated"
"4","VAMP5",2910.48113538375,6.26176045860918,0.16335187291908,1.48219693752374e-322,5.81821585855569e-319,"Upregulated"
"5","NAPSA",2411.57896059319,6.75444698537198,0.20564578818426,2.13235174213874e-237,3.80469705845065e-234,"Upregulated"
"6","TBK1",3211.96201119243,4.76066375659216,0.158109843372114,2.95288544598608e-200,4.8296902206974e-197,"Upregulated"
"7","HPGD",1844.12671134278,5.19234733452639,0.174403018205004,8.93246350212177e-196,1.34859585504726e-192,"Upregulated"
"8","SAA1",2079.99046554033,5.40831451693579,0.182195761111265,3.09729667440836e-195,4.34218870204378e-192,"Upregulated"
"9","SFTA2",18108.8188476495,13.3871903546032,0.449789815125555,1.18027447485201e-192,1.54434980786136e-189,"Upregulated"
"10","LANCL2",3765.99115433673,4.52581920186324,0.155667480166226,6.05967035701783e-187,6.99606765277582e-184,"Upregulated"
"11","SEC61G",132813.153570158,3.68898043803186,0.132516158394967,2.08132157035028e-171,2.15000518217184e-168,"Upregulated"
"12","PPP1R14A",956.561567102788,7.02851169889598,0.253792907164574,3.99288187164841e-169,3.91841462474217e-166,"Upregulated"
"13","FOLR1",2723.05806742495,9.65364198245621,0.350299120224986,5.89049059047659e-167,5.50536470568019e-164,"Upregulated"
"14","OS9",26017.4520307309,4.061658225674,0.148096412853215,1.33555004493158e-166,1.19149276053964e-163,"Upregulated"
"15","PIP4K2C",4010.45736172435,3.68694010016692,0.134691027772203,6.19967702763602e-166,5.29048091397444e-163,"Upregulated"
