"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"1","CRIP1-201",10186.4986087318,-9.55557878981674,0.244344916463618,0,0,"Downregulated"
"2","MT1E-201",28416.3259534306,-13.3613456685832,0.43642496416326,6.08167804069717e-205,3.40482745108431e-201,"Downregulated"
"3","IFITM2-205",6422.07501726795,-4.45885176742692,0.146524742328989,1.74344090793185e-204,7.80852313844517e-201,"Downregulated"
"4","VIM-201",7183.80611682911,-4.58950355070579,0.15857037515436,1.59735099984354e-185,5.11015404149946e-182,"Downregulated"
"5","DHRS2-201",1960.70928749209,-6.71875716285825,0.25428331938574,1.33059448375141e-154,2.70884844264809e-151,"Downregulated"
"6","ZNF880-202",1103.40661721787,-5.47062374860606,0.213509643308033,1.45212987144442e-146,2.03243727132039e-143,"Downregulated"
"7","RPS9-203",1356.7966605132,-5.18738539669235,0.203764213892289,5.68526403331765e-145,7.07310015345085e-142,"Downregulated"
"8","SNU13-201",1560.50961587447,-7.15530742408145,0.279090149634778,5.80209347821711e-144,6.4966040675597e-141,"Downregulated"
"9","RPLP0-202",1031.45439183757,-5.09325871246934,0.202248126601983,5.61469485410542e-141,5.7152489346744e-138,"Downregulated"
"10","GPX4-201",3293.97665642895,-10.0384034680294,0.410142815316487,2.62080636499442e-131,2.44543073907021e-128,"Downregulated"
"11","OTUD6B-AS1-201",712.217163544395,-4.13907314797239,0.187035908564441,1.3061272024567e-109,1.00860043351088e-106,"Downregulated"
"12","CD74-202",1999.30542317003,-4.43833533868799,0.213332197688,6.36533975071255e-97,4.07272623935591e-94,"Downregulated"
"13","H2BC5-201",1005.79220229333,-4.60730921395756,0.225247806586791,1.72925873383694e-94,9.92949232962678e-92,"Downregulated"
"14","RPL36A-210",2468.52986866979,-7.58616158360252,0.380737084629366,1.37171463668227e-89,7.67954439346571e-87,"Downregulated"
"15","AKR1B1-201",7827.38594047989,-2.65529701116884,0.133834333205401,2.2863020856355e-88,1.24876704648101e-85,"Downregulated"
