"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp","size"
"1","LCN2-201",27386.1043986295,8.97064421606624,0.170220641527809,0,0,"Upregulated",3
"2","PDZK1IP1-201",8548.2788975201,8.20827161135765,0.213606198418084,0,0,"Upregulated",3
"3","DEFB4A-201",2310.97229364442,8.81429516239621,0.292591326106804,2.31989457311633e-199,8.6586198450612e-196,"Upregulated",3
"4","CDK4-215",1481.70172201642,4.5161744699357,0.161972278430217,4.06934031573866e-172,1.13911008788314e-168,"Upregulated",3
"5","ECH1-201",3365.54460533262,9.17963734415165,0.336406600305252,1.12026064576854e-164,2.78745743348229e-161,"Upregulated",3
"6","HLA-A-202",1858.76960075537,8.17358035167656,0.300550791961439,1.9822860976097e-163,4.43913148698716e-160,"Upregulated",3
"7","PLAAT4-201",15867.3117067953,5.45097192792588,0.208217638565241,2.02944238107968e-152,3.78727772349154e-149,"Upregulated",3
"8","LANCL2-201",1567.77113542197,4.32684541876437,0.166237595030413,2.45074397315633e-150,4.22168927191253e-147,"Upregulated",3
"9","CD63-214",3188.80641330226,7.27515332008374,0.280922739504419,3.4697313551829e-149,5.55008314056899e-146,"Upregulated",3
"10","NAPSA-201",1090.05817148987,6.99690416551003,0.271317844588399,2.05428190617935e-147,3.06690593379869e-144,"Upregulated",3
"11","SFTA2-201",16181.7928672647,13.9216425611629,0.536420765038815,4.16460566187084e-146,5.48601054070209e-143,"Upregulated",3
"12","PLAAT3-203",2822.59328904315,3.58910661599725,0.140731412837448,1.86288594176701e-144,2.19565619894371e-141,"Upregulated",3
"13","SAA1-201",1400.23839894826,5.56970983337858,0.219600575571024,4.4535386506677e-143,4.74916878776441e-140,"Upregulated",3
"14","LCN2-208",1375.73429790362,9.048447768346,0.370516072427148,1.31359900831035e-131,1.27898853009139e-128,"Upregulated",3
"15","LY6D-201",1129.47215910749,8.55995514199189,0.356307064695504,9.66116715489301e-128,8.65408709066697e-125,"Upregulated",3
