R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
ARF5-201 5674 6245 4945 3943 3482 4046
M6PR-201 849 779 745 736 355 752
ESRRA-201 0 0.22534 0 0 0 0.55645
FKBP4-201 546 716 483 999 807 1309
NDUFAF7-201 140 136 105 70 36 96
FUCA2-201 924.43682 1306.9724 845.37764 823.39363 423.34038 817.23085
DBNDD1-201 34 34 18 98 62 163
HS3ST1-201 99 123 93 395 176 355
CYP51A1-201 261 305 334 147 41 104
STPG1-201 11 13 6 0 0 1
NIPAL3-201 0 0 0 0 0 1
HSPB6-201 576 729 627 0 0 0
ZNF195-201 52 50 55 44 43 42
PDK4-201 6 9.64773 2 1 0 7
CCL26-201 218 0 0 284 229 247
RALA-201 2365 2831 2497 990 615 800
BCAP29-201 452 548 434 135 78 128
BAIAP2L1-201 24.24605 131.20858 106.8869 10.8235 3.55939 28.09909
TMEM132A-201 0 0 0.00859 0 0.10889 0.80772
DVL2-201 24 45 28 18 21 32
GGCT-201 63 37 37 27 24 20
RPAP3-201 97 118 105 63 12 66
IFRD1-201 7 9 10 4 7 4
PRSS21-201 294 289 246 293 228 363
HOXA11-201 5 8 1 12 6 5
CX3CL1-201 84 78 89 90 33 110
PRR5-201 0 1 0 0 0 0
TRAPPC6A-201 310 381 310 325 304 297
SPATA20-201 73 120 74 127 78 161
RHBDD2-201 757 858 723 1204 683 1433
RPUSD1-201 66 92 72 80 54 121
TSR3-201 188 210 69 21 26 71
OSBPL7-201 0 5 2 2 0 10
NDUFAB1-201 9248 7779 7667 6065 3428 4480
YBX2-201 11 20 4 22 32 49
LRRC23-201 15 15 10 11 15 15
IL32-201 1e-05 0 25.99999 4.89356 0 2
SPRTN-201 1.30624 5.70519 5.44831 0 0 0
CRY1-201 38 44 16.62715 4.92469 6 15
STARD3NL-201 903 922 789 403 153 391
CD9-201 8486.00355 7352.90198 7259.24162 8635.71422 3959.56741 7518.7017
CD74-201 381 373 324 3 7 15
RPS20-201 85632.26921 66471.84906 64264.99047 77331.89152 40542.0943 52247.86724
MGST1-201 0.93262 2.55476 0 1.54253 1.42597 0
SYPL1-201 6 6 3 0 0 0
RANBP9-201 1 0.00799 0 0 0 0
SS18L2-201 1979.97093 1667.08774 1658.179 1015 835.14539 1105.85438
TSPAN9-201 34 61 40 21 9 27
QPCTL-201 21 35 15 27 22 39
PPP5C-201 64 103 83 42 34 75
NME1-201 2 0 2 1 0 0
UBR7-201 336 344 325 49 34 57
ERCC1-201 67 92 74 93 63 114
GPRC5A-201 494 462 445 886 342 961
HEBP1-201 780 835 720 1271 809 1083
DNASE1L1-201 0 0.04818 0 0 1.87156 0
COX15-201 311 344 283 245 129 254
RGPD5-201 0 0 0 0 1 0
XYLT2-201 9 8 3 5 1 9
FTSJ1-201 4 3 2 0 0 3
RALBP1-201 1.46246 0 2 1 0 0
SYT13-201 0 0 0 5 2 6
SNAI2-201 358 412 351 78 30 56
SLC7A9-201 0 0 0 0 0 2
RTF2-201 8 10 6 18 6 14
STRAP-201 6 4 0 5 1 0
PIGQ-201 3 5 0 7 5 9
