GENEID	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENSG00000000003	2044	1943.00002	1863	3619	2459.00001	3796.99999
ENSG00000000005	0	0	0	0	0	1
ENSG00000000419	4079	2845.00001	3477	1647	1044.00001	1643
ENSG00000000457	418.99999	289	363.00001	76.99999	54.00001	269.99999
ENSG00000000460	78.99999	56	61.00002	369	253	96.99999
ENSG00000000938	1	1	4	0	4	0
ENSG00000000971	511.00002	419.00001	420	134.00001	98	132.99999
ENSG00000001036	2453	2442	2165.99999	2140.00002	1856	1880.00001
ENSG00000001084	568	438	594	349	243	375.00001
ENSG00000001167	396.00001	364	360	208	106	146
ENSG00000001460	256.99999	231.99999	207.99999	121	107.99999	93
ENSG00000001461	618.99999	576.00001	576.99999	621.99998	551.99999	420
ENSG00000001497	1550.99997	1435	1365.00002	2293.99999	2036.99999	2170.99998
ENSG00000001561	21	18	21	53	41	44
ENSG00000001617	19	18	16	2	7	5
ENSG00000001626	1	1	0	2	0	2
ENSG00000001629	744	568	620.00001	232.00001	313.99999	193.00001
ENSG00000001630	1965	1942.00001	2150	1105.00001	736.00001	741
ENSG00000001631	1566.00002	1045.00001	1367.00001	507	328.99997	429.00002
ENSG00000002016	112	126.99999	115.00001	128.99999	112.00001	93
ENSG00000002330	1040	1148	1085	1289.00001	1826.00001	1475
ENSG00000002549	1986	1866	1921	1641.00001	1113	1422
ENSG00000002586	3157.00001	2868.00002	2644.99998	2118.00001	2027.00001	2055
ENSG00000002587	149	156	140	521.00001	362	450
ENSG00000002726	38	24	29	77	79	90
ENSG00000002745	2	0	0	9	6	16
ENSG00000002746	65	66	53	7	4	1
ENSG00000002822	564.00001	501.99999	514	629.00003	841.00001	631.00001
ENSG00000002834	2297	2236.99999	2276	4468.00001	6525.99999	3914.00001
ENSG00000002919	625.99998	772.00002	818	820.99999	716.00001	826
ENSG00000002933	1	0	0	0	0	4
ENSG00000003056	1110.00001	1036	941.99998	987	507.00001	951
ENSG00000003096	27.00001	22	15	7	3	2
ENSG00000003137	75	42	86	1	1	0
ENSG00000003147	165.00001	137	141	1235.00001	701.00001	705.00001
ENSG00000003249	173	125	113	717.99999	950	726
ENSG00000003393	263	212	221.99999	91	99	114.00001
ENSG00000003400	115	116.00001	103	157	112	106
ENSG00000003402	2220.00001	2290.99999	2476	1274.99999	1273	1037.00001
ENSG00000003436	4295	3912.99997	3968.99999	1890.99999	1240.99999	1444
ENSG00000003509	459.99999	441.00001	382.99999	211.00001	138	207.00001
ENSG00000003756	659.00003	629.00001	570.99998	511.99999	494	508
ENSG00000003987	9	5	11	5	1	0
ENSG00000003989	8	4	13	28	36	32
ENSG00000004059	10146.99999	9926.99999	8987	8090	7356.00001	7745.99999
ENSG00000004139	17	20	7	46	27	31
ENSG00000004142	1662.99999	1910	1653	1351	1727	1308
ENSG00000004399	53	48	45.99999	198.99999	345.99999	187.99999
ENSG00000004455	5511.00001	5390.00001	5287	5399	3469.99998	4845.99999
ENSG00000004468	2	1	0	7	1	0
ENSG00000004478	1352	1447.00001	1227.00001	3253.00001	3673.00001	3113.99998
ENSG00000004487	1837.00002	1756	1976.00002	2337.00002	2083.99998	1980.99998
ENSG00000004534	701	725	787	401	322.99999	268.99999
ENSG00000004660	28	8	14	64	87.99999	40
ENSG00000004700	307.00001	269.00001	254	72.00001	73.99999	62
ENSG00000004766	276	248	246.00001	101	80.99999	102.99999
ENSG00000004776	1220	1311	1136	2	1	6
ENSG00000004777	13	12	16.00001	23	18	13
ENSG00000004779	10335	8649	8558	6860	4069	4966
ENSG00000004799	33	24	19	20.00001	19	21
ENSG00000004809	1	0	0	0	0	0
ENSG00000004838	70.99999	69.99999	53	90.99999	109	129
ENSG00000004846	1	0	0	0	0	0
ENSG00000004848	6	7	5	0	0	0
ENSG00000004864	888	792	735	463.00001	595.00001	380
