GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
BambuGene10093	0	0	6	4	3	1
BambuGene10187	84	52	88	72	89	76
BambuGene1021	4	10	8	7	13	11
BambuGene10256	10	1	5	7	4	5
BambuGene10260	7	8	16	11	16	21
BambuGene10352	15	0	7	6	3	7
BambuGene10376	0	0	0	31	32	35
BambuGene10390	160	85	134	76	74	56
BambuGene10407	0	0	0	3	12	6
BambuGene10427	369	174	237	1158	769	969
BambuGene10590	3	2	3	14	14	16
BambuGene1061	0	5	1	1	0	1
BambuGene10673	192	217	337	225	269	263
BambuGene10700	3	3	0	74	72	71
BambuGene10715	1	5	0	5	2	0
BambuGene10736	1	14	10	3	22	10
BambuGene1082	0	0	0	0	2	1
BambuGene10829	0	0	0	2	5	2
BambuGene1084	2	4	5	9	8	12
BambuGene10901	2	0	8	1	4	2
BambuGene10978	168	182	232	92	110	128
BambuGene11047	4	1	3	18	27	17
BambuGene11146	3	2	0	6	2	0
BambuGene1123	3	5	3	6	7	4
BambuGene11291	0	1	1	90	106	94
BambuGene11296	23	31	18	12	25	15
BambuGene11328	2	5	7	7	11	8
BambuGene1134	11	38	34	23	44	34
BambuGene11402	2	1	1	17	23	9
BambuGene11433	0	2	4	6	1	3
BambuGene11475	39	24	41	20	13	13
BambuGene11541	0	1	0	5	10	5
BambuGene11584	0	4	4	37	41	27
BambuGene11616	0	0	2	0	0	0
BambuGene11655	171	109	146	206	222	185
BambuGene11697	11	9	8	3	8	8
BambuGene11737	0	0	1	6	6	3
BambuGene11872	86	143	125	87	139	124
BambuGene11907	8	2	11	9	8	12
BambuGene11978	12	2	14	17	12	10
BambuGene12001	9	7	16	7	14	17
BambuGene12003	6	0	2	12	4	4
BambuGene12021	4	12	5	1	3	1
BambuGene12054	36	33	33	25	28	29
BambuGene1206	41	8	16	19	21	14
BambuGene12071	29	26	31	130	128	107
BambuGene12082	0	4	0	2	4	4
BambuGene12121	5	2	5	3	1	1
BambuGene12141	4	0	13	488	538	442
BambuGene12260	17	15	17	15	18	18
BambuGene12277	11	4	9	2	2	3
BambuGene123	0	1	0	1	3	2
BambuGene12303	0	0	0	3	4	14
BambuGene12436	1	4	1	16	12	16
BambuGene12440	0	0	0	2	0	3
BambuGene12490	0	0	0	66	55	49
BambuGene12493	0	0	0	4	11	5
BambuGene12509	15	2	8	20	8	4
BambuGene12532	0	1	1	25	40	42
BambuGene12612	0	1	0	8	3	8
BambuGene12675	1	0	0	59	76	62
BambuGene12748	17	32	20	13	9	12
BambuGene12791	35	37	51	39	60	46
BambuGene12853	762	273	389	238	236	217
BambuGene12876	8	2	1	3	5	3
BambuGene12879	8	8	27	21	22	14
BambuGene12895	2	7	11	9	16	6
BambuGene12910	36	23	40	33	51	39
BambuGene12969	19	12	11	15	28	20
BambuGene12976	5	10	13	3936	3622	3747
BambuGene12997	5	7	9	56	49	55
BambuGene13100	3	1	0	10	7	9
BambuGene13134	26	10	18	7	13	9
BambuGene13198	50	9	31	4	3	2
BambuGene13256	6	13	8	19	26	33
BambuGene13331	33	1	2	0	3	2
BambuGene13394	19	22	7	8	6	12
BambuGene13425	102	62	52	21	17	16
BambuGene13559	53	96	130	69	78	69
BambuGene13576	32	20	29	8	11	4
BambuGene13646	1	7	5	9	8	7
BambuGene13666	2	1	1	5	8	9
BambuGene13811	0	0	1	173	170	169
BambuGene1386	0	0	7	25	15	24
BambuGene13862	59	52	60	73	138	82
BambuGene1392	0	0	0	8	7	7
BambuGene14007	69	53	78	65	67	67
BambuGene14023	3	8	4	61	66	61
BambuGene14163	169	89	94	89	101	84
BambuGene14189	0	0	4	7	6	2
BambuGene14229	0	0	3	8	3	10
BambuGene14296	4	9	4	15	23	12
BambuGene14325	32	50	45	48	49	46
BambuGene14396	0	0	0	7	1	1
BambuGene14427	2	0	0	97	136	85
BambuGene1448	8	5	18	14	29	20
BambuGene14486	1	0	0	2	0	0
BambuGene14501	19	15	13	9	12	24
BambuGene14518	82	93	134	189	202	155
BambuGene1453	17	20	15	11	23	16
BambuGene14532	60	64	85	42	60	48
BambuGene14600	0	0	1	68	75	49
BambuGene14773	8	3	3	4	20	3
BambuGene14828	96	73	134	45	45	49
BambuGene14877	1	0	1	134	208	129
BambuGene14962	491	625	632	209	265	273
BambuGene14979	12	19	20	41	82	59
BambuGene15083	2	4	0	56	61	62
BambuGene15145	66	40	87	96	121	90
BambuGene15182	0	0	6	3	6	5
BambuGene1525	0	0	0	150	220	223
BambuGene15341	0	0	0	17	23	16
BambuGene15401	3	0	0	0	0	5
BambuGene15405	87	70	131	61	99	65
BambuGene15546	21	31	33	1	0	3
BambuGene1560	48	39	59	10	3	3
BambuGene15623	15	18	16	5	11	12
BambuGene15625	9	20	12	57	69	40
BambuGene15661	15	0	5	9	8	2
BambuGene15663	0	0	0	12	4	4
BambuGene15668	3	4	4	11	12	12
BambuGene15723	23	16	28	5	5	6
BambuGene15781	0	1	1	2	15	11
BambuGene15794	0	0	3	2	3	0
BambuGene15806	3	8	2	105	145	98
BambuGene15814	3	0	1	7	11	9
BambuGene15962	0	0	0	53	58.00001	50
BambuGene16040	0	0	0	14	27	17
BambuGene16047	0	1	3	20	22	15
BambuGene16068	26	31	17	34	25	26
BambuGene16116	8	4	16	57	80	55
BambuGene16210	1	0	3	7	10	3
BambuGene16308	5	5	3	0	1	4
BambuGene16312	10	21	27	50	43	30
BambuGene16342	1	0	0	85	96	61
BambuGene16346	0	2	2	34	38	34
BambuGene16411	569	498	734	526	599	540
BambuGene16612	46	39	64	66	88	86
BambuGene16618	36	20	28	27	21	30
BambuGene16645	21	16	27	25	30	18
BambuGene16699	4	3	6	8	6	6
BambuGene16892	115	91	159	54	67	43
BambuGene16930	20	21	28	6	16	10
BambuGene17026	0	0	0	10	23	13
BambuGene17038	41	35	35	44	32	36
BambuGene17043	16	8	10	18	30	17
BambuGene17048	6	23	24	0	0	0
BambuGene17059	1	3	1	7	10	6
BambuGene17071	5	2	2	14	23	11
BambuGene1711	50	28	50	39	25	22
BambuGene17220	8	20	12	7	3	4
BambuGene17407	10	0	16	0	3	1
BambuGene17419	15	9	25	12	12	10
BambuGene17436	0	0	0	5	1	3
BambuGene17594	1	0	0	4	1	6
BambuGene17628	2	0	10	4	3	3
BambuGene17658	0	1	0	2	7	5
BambuGene17690	6	3	5	0	0	0
BambuGene17732	53	55	51	37	60	43
BambuGene17869	21	18	26	31	52	21
BambuGene17900	4	12	12	25	35	29
