TXNAME	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENST00000000233	5674	6245	4945	3943	3482	4046
ENST00000000412	849	779	745	736	355	752
ENST00000000442	0	0.22534	0	0	0	0.55645
ENST00000001008	546	716	483	999	807	1309
ENST00000002125	140	136	105	70	36	96
ENST00000002165	924.43682	1306.9724	845.37764	823.39363	423.34038	817.23085
ENST00000002501	34	34	18	98	62	163
ENST00000002596	99	123	93	395	176	355
ENST00000003100	261	305	334	147	41	104
ENST00000003583	11	13	6	0	0	1
ENST00000003912	0	0	0	0	0	1
ENST00000004982	576	729	627	0	0	0
ENST00000005082	52	50	55	44	43	42
ENST00000005178	6	9.64773	2	1	0	7
ENST00000005180	218	0	0	284	229	247
ENST00000005257	2365	2831	2497	990	615	800
ENST00000005259	452	548	434	135	78	128
ENST00000005260	24.24605	131.20858	106.8869	10.8235	3.55939	28.09909
ENST00000005286	0	0	0.00859	0	0.10889	0.80772
ENST00000005340	24	45	28	18	21	32
ENST00000005374	63	37	37	27	24	20
ENST00000005386	97	118	105	63	12	66
ENST00000005558	7	9	10	4	7	4
ENST00000005995	294	289	246	293	228	363
ENST00000006015	5	8	1	12	6	5
ENST00000006053	84	78	89	90	33	110
ENST00000006251	0	1	0	0	0	0
ENST00000006275	310	381	310	325	304	297
ENST00000006658	73	120	74	127	78	161
ENST00000006777	757	858	723	1204	683	1433
ENST00000007264	66	92	72	80	54	121
ENST00000007390	188	210	69	21	26	71
ENST00000007414	0	5	2	2	0	10
ENST00000007516	9248	7779	7667	6065	3428	4480
ENST00000007699	11	20	4	22	32	49
ENST00000007969	15	15	10	11	15	15
ENST00000008180	1e-05	0	25.99999	4.89356	0	2
ENST00000008440	1.30624	5.70519	5.44831	0	0	0
ENST00000008527	38	44	16.62715	4.92469	6	15
ENST00000009041	903	922	789	403	153	391
ENST00000009180	8486.00355	7352.90198	7259.24162	8635.71422	3959.56741	7518.7017
ENST00000009530	381	373	324	3	7	15
ENST00000009589	85632.26921	66471.84906	64264.99047	77331.89152	40542.0943	52247.86724
ENST00000010404	0.93262	2.55476	0	1.54253	1.42597	0
ENST00000011473	6	6	3	0	0	0
ENST00000011619	1	0.00799	0	0	0	0
ENST00000011691	1979.97093	1667.08774	1658.179	1015	835.14539	1105.85438
ENST00000011898	34	61	40	21	9	27
ENST00000012049	21	35	15	27	22	39
ENST00000012443	64	103	83	42	34	75
ENST00000013034	2	0	2	1	0	0
ENST00000013070	336	344	325	49	34	57
ENST00000013807	67	92	74	93	63	114
ENST00000014914	494	462	445	886	342	961
ENST00000014930	780	835	720	1271	809	1083
ENST00000014935	0	0.04818	0	0	1.87156	0
ENST00000016171	311	344	283	245	129	254
ENST00000016946	0	0	0	0	1	0
ENST00000017003	9	8	3	5	1	9
ENST00000019019	4	3	2	0	0	3
ENST00000019317	1.46246	0	2	1	0	0
ENST00000020926	0	0	0	5	2	6
ENST00000020945	358	412	351	78	30	56
ENST00000023064	0	0	0	0	0	2
ENST00000023939	8	10	6	18	6	14
ENST00000025399	6	4	0	5	1	0
ENST00000026218	3	5	0	7	5	9
ENST00000027335	0	0	0	0	0	1
ENST00000028008	0	1.38973	0.40005	0	0.88036	0.73748
ENST00000029410	91.86962	151.8537	14.06456	57.06399	0	112.11005
ENST00000031146	15	12	8	3	0	1
ENST00000033079	0.16531	2	0	0	0	0
ENST00000034275	3.7624	1e-05	16	13.30113	6.21063	0
ENST00000035307	33	43	32	6	11	13
ENST00000037243	5545	5215	5015	4584	2599	3890
ENST00000037869	2262	2120	1922	2887	2032	2395
ENST00000038176	5	16	8	9.5	1.53431	9.5
ENST00000039989	5	0	1	0	0	0
ENST00000040584	0	0	0	1	1	0
ENST00000040663	15	16	17	32	17	39
ENST00000043402	3	0	0	0	0	0
ENST00000044462	764.50911	1894.15033	219.22809	1025.75516	840.03655	514.35603
ENST00000046640	91	94	104	94	36	137
ENST00000052569	17	20	21	10	4	8
ENST00000053468	757.32323	834.86436	1092.45151	554.98504	244.42993	484.69876
ENST00000053867	6648	6629	5847	2679	1271	3614
ENST00000054650	5	4	4	0	3	2
ENST00000054666	1294	1252	1105	777	354	697
ENST00000054950	1950	2343	1830	838	416	784
ENST00000056217	0	3	0	0	0	1
ENST00000056233	11.86688	30	29	7.37063	9.79046	12.35652
ENST00000057513	2	0	1	0	0	1
ENST00000060969	270	281	246	239	115	196
ENST00000064724	8	4	2	0	0	0
ENST00000064778	3	3	1	0	1	2
ENST00000066544	26	23	12	8	1	11
ENST00000072516	4	4	5	2	0	1
ENST00000072644	37	61	56	38	14	53
ENST00000072869	34	29	19.89775	21	36	11
ENST00000075120	71	69.5	62.5	1	0	2.5
ENST00000075503	8	7	8	5	0	7
ENST00000078429	7	8	9	11	2	8
ENST00000078445	2	1	0	0	0	0
ENST00000078527	0	0	2	0	0	0
ENST00000080059	0	2	2	2	0	3
ENST00000081029	1516	1728	1555	2423	945	2098
ENST00000082468	0	1	0	0	0	0
ENST00000083182	45	81	56	15	6	23
ENST00000084795	20.0494	1945.07646	57.38688	19.65869	5.80391	18.87022
ENST00000084798	71	94	98	82	60	103
ENST00000085068	233	267	224	237	174	243
ENST00000155926	16	12	17	0	0	0
ENST00000156109	555	597	486	300	205	378
ENST00000156471	5	9	4	1	0	2
ENST00000156626	0	0	0	58	19	57
ENST00000156825	1.70335	0	0	2.77714	0	1e-05
ENST00000157600	355	326	252	46	31	59
ENST00000157812	529	1130.67079	941.99999	1729.63375	519.19346	1866.14131
ENST00000158526	0	1	0	0	0	0
ENST00000160382	0	0	3	0	0	0
ENST00000161006	347	357	363	100	58	134
ENST00000161559	3	3	1	1	0	1
ENST00000161863	0	1	3	0	0	0
ENST00000162044	449	500	440	455	330	647
ENST00000162330	6	7	3	0	0.50727	0
ENST00000162391	0	0	0	0	1	0
ENST00000162749	518	563	473	363	213	508
ENST00000163416	151	200	154	43	5.33726	43
ENST00000163678	38	46	37	29	5	13
ENST00000164133	6	14	0	0	5	13
ENST00000164227	10	10	7	2	5	6
ENST00000164305	79	112	88	46.81595	13	49
ENST00000166139	80	83	40	11	3	13
ENST00000166345	104	147	102	64	26	74
ENST00000166534	4	6	3	8	3	4
ENST00000167218	7	8	2	3	0	4
ENST00000167462	1	0	2	0	0	0
ENST00000167586	0	1	0	1	0	0
ENST00000167588	0	0	1	307	100	460
ENST00000168216	3154	3011	2700	2503	2123	2825
ENST00000169298	7	8	5	11	4	19
ENST00000169551	502	542	522	195	127	247
ENST00000170447	135	143.13443	111.54563	70	35	62
ENST00000170564	13	9	12	8	4	6
ENST00000171111	66.99998	101	61.88149	21	6	11
ENST00000172229	0	0	0	1	0	0
ENST00000173527	241	291	203	270	141	224
ENST00000173785	1	0	0	0	0	1
ENST00000174618	95	141	85	79	68	84
ENST00000175091	6578	7031	6510	4812	1993	4546
ENST00000175506	31	30	19	24	5	13
ENST00000175756	2	1	0	0	4	3
ENST00000176643	434	384	390	175	92	203
ENST00000176763	16	17	10	4	2	7
ENST00000177648	3	0	0	1	0	1
ENST00000177742	205	296	224	211	185	256
ENST00000178638	32	45	26	0	0	1
ENST00000178640	29	52	19	16	11	22
ENST00000179259	435	495	458	255	136	251
ENST00000182290	0	0	0	1	1	2
ENST00000182527	15	24	15	4	4	4
ENST00000184266	18070	15291	15394.20606	27770	12353	18462
ENST00000184956	18	7.2129	10	4	2	3
ENST00000185150	277.99997	300.90746	296.99998	107.89276	56.99999	122.01911
ENST00000187762	68	84	42	27	9	32
ENST00000187830	0	1	0	0	0	0
ENST00000187910	0	1	0	0	0	0
ENST00000188312	163	164	199	117	53	120
ENST00000188376	0	1.24538	0.00016	0	0.00019	10.43869
ENST00000188790	1	2	0	0	0	0
ENST00000189444	0	5	3.01502	0	0	0
ENST00000190611	3	4	2	0	0	0
ENST00000190983	308.45591	285.17543	251.72539	22.33827	11.08227	15.48583
ENST00000191018	234	254	211	56	25	74
ENST00000191063	1	3	1	0	0	0
ENST00000192788	0	0	1	0	0	0
ENST00000193322	45.02007	65.02016	40.84122	13.80215	5	16.98737
ENST00000193403	700	981	718	165	96	232
ENST00000194118	9	23	18	27	11	51
ENST00000194152	3	0	4	0	1	1
ENST00000194155	58	69	33	67	13	39
ENST00000194214	897	757.38198	704.99999	930.99999	714.99999	858
ENST00000194530	11.26305	136.33198	156.99999	101	36.04469	81.66589
ENST00000196061	217.08389	352.15163	337.43646	126.99999	28	105.21869
ENST00000196371	283	270	204	33	14	32
ENST00000196482	67	66	52	29	15	30
ENST00000196489	79	130	78	46	23	33
ENST00000196551	111153.75093	108308.39484	101386.82294	143826.0288	89936.98379	135070.16049
ENST00000197268	0.97047	5	3	4	0	3
ENST00000198767	64.94907	100.68802	62.52919	18.6061	5.86814	28.18742
ENST00000198939	0	0	0	0	0.00057	0
ENST00000199320	614	770	596	615	233	464
ENST00000199389	235.34569	310.63471	197.7713	120.45398	62.41452	179.71675
ENST00000199448	137	219	154	1	1	2
ENST00000199706	1572	1733	1442	1983	1545	2314
ENST00000199708	0	0	0	1	5	12
ENST00000199764	9	10	4	817	229	1077
ENST00000199814	332	377	339	285	121	290
ENST00000199936	0	0	0	15	6	11
ENST00000199940	0	1	1	0	0	0
ENST00000200135	64	63	63	46	19	62
ENST00000200453	156.5	158.64491	355.89548	130.06865	109.5	0.08396
ENST00000200457	458.30995	4e-05	71.14603	7.83522	297.36645	131.08398
ENST00000200639	157.22228	318.91421	409.61407	56.09996	83.77173	65.52065
ENST00000200652	28	36	30	4	1	6
ENST00000200691	1	0	0	0	0	0
ENST00000201031	18	16	14	4	2	6
ENST00000201586	456	458	475	313	230	363
ENST00000201647	4	16	7	13	17	30
ENST00000201961	2	0	2	0	0	0
ENST00000202017	886	769.58086	331.66897	527.38417	367.8722	329.78354
ENST00000202773	25400	22129	19387	23221	12148	21730
ENST00000202831	0	0	4	0	0	3
ENST00000202834	4409	4370	4405	2049	737	1852
ENST00000202917	195	198.65926	216.77688	81	26	101.26339
ENST00000202967	25	16	19	31	20	29
ENST00000203001	74	128	85	39	15	62
ENST00000203166	16	21	7	11	11	31
ENST00000203407	5807	6160	5343	5131	4283	6636
ENST00000203556	2	5	5	1	2	7
ENST00000203630	1752	2134	1699	1725	1439	2591
ENST00000203664	164	207	164	350	239	319
ENST00000204517	24	49	26	21	18	21
ENST00000204549	12	10	10	10	3	8
ENST00000204566	439	621	402	428	224	498
ENST00000204637	1	4	0	3	1	0
ENST00000204679	1208	1359	1046	571	315	585
ENST00000204961	9	8	4	3	2	6
ENST00000205061	29	43	26	8	2	14
ENST00000205194	81	130	86	60	67	76
ENST00000205214	0	5	3	3	0	3
ENST00000205402	1264.68195	1469.69015	1316.5785	308.55498	133.89724	376.9257
ENST00000205636	1004	1241	925	230	118	205
ENST00000205948	0	0	0	9	6	18
ENST00000206020	3e-05	157.42643	3e-05	9e-05	6e-05	273.25259
ENST00000206262	243	195	153	219	88	201
ENST00000206380	0	0	0	1633.53598	953.7809	1567.2005
ENST00000206423	1	2	4	1	0	1
ENST00000206451	6119.27188	4833.84804	379.78282	8564.52757	5253.54408	8875.87294
ENST00000206474	131	119	116	161	89	186
ENST00000206542	662	674	623	729	481	720
ENST00000206595	45	49	41	25	5	33
ENST00000206765	0	0	0	0	1	0
ENST00000207549	7.78381	15.71023	5.87734	6.85371	5.98384	22.06365
ENST00000207870	35	34	34	20	10	28
ENST00000209728	1e-05	1e-05	1e-05	0	5.9157	0
ENST00000209873	367.99724	179.20037	221.55955	553.38217	165.62352	226.69473
ENST00000209875	560	531	467	551	264	364
ENST00000209884	43	46	45	12	6	11
ENST00000210060	1859	1967	1742	1552	1020	1922
ENST00000210187	5	5	3	18	24	32
ENST00000210227	2	2	1	1	0	0
ENST00000210313	125	98	116	88	21	62
ENST00000210444	2088.76616	0	0	0	0	0
ENST00000211287	213	232	159	178	116	237
ENST00000211314	1682	1595	1415	832	415	707
ENST00000211379	2.5	2	2.5	2.5	0.5	5
ENST00000211936	10	8	6	0	2	4
ENST00000211998	1e-05	0	0	0	0	0
ENST00000212015	1	0	0	1	1	0
ENST00000212355	1	0	0	0	0	0
ENST00000214869	1356	1313	1235	1420	837	1592
ENST00000215057	0.43981	1.5871	0	0.74123	1.02457	0
ENST00000215061	46	49	42	194	159	223
ENST00000215071	3.14223	1.0788	7.02176	5.61467	5174.00278	7148.27632
ENST00000215115	125.88136	183	132	72	113	103
ENST00000215368	0	1	0	1	0	0
ENST00000215375	808	707	499	642	723	1031
ENST00000215531	97	72	94	1	0	0
ENST00000215555	52	72	40	23	20	19.98051
ENST00000215565	8082	7989	7698	11584	11294	11123
ENST00000215567	2846.86108	2728.84421	2159.5865	4471.32366	3055.05756	4755.89389
ENST00000215570	8368	7892	7803	9040	6516	7559
ENST00000215574	54	56	50	36	85	45
ENST00000215582	48	64	40	44	59	101
ENST00000215587	6	10	4	20	7	15
ENST00000215631	470	588	487	164	70	138
ENST00000215659	12	10	5	3	4	6
ENST00000215730	571.18558	711.32904	530.77897	314.34687	227.99999	281
ENST00000215742	151	144	160	167	112	173
ENST00000215743	23	32	29	6	5	7
ENST00000215754	124849	106015	107158	127929	103922	116193
ENST00000215770	24	33	17	0	0	0
ENST00000215790	75.5	108.5	76	32.5	37.15305	98
ENST00000215793	113	164	128	108	73	193
ENST00000215829	6556.99641	5431.74364	5402.6029	3172.94616	2209.39767	2613.53487
ENST00000215832	11	12	2	1	0	2
ENST00000215838	8	4	6	301	143	510
ENST00000215882	104.35525	0	53.06474	48.7713	31.07043	151.02558
ENST00000215886	0	0	0	152	133	159
ENST00000215904	3	4	1	2	2	4
ENST00000215906	0	0	1	0	0	0
ENST00000215909	123768	104433	105436	30786	28427	27026
ENST00000215912	138	125	143	14	11	40
ENST00000215917	350	495	329	176	163	182
ENST00000215919	24	39	27	35	26	16
