"ensembl_transcript_id","ensembl_exon_id","width"
"ENST00000972713","ENSE00004015046",43
"ENST00000972713","ENSE00004015047",69
"ENST00000972713","ENSE00004015048",154
"ENST00000972713","ENSE00004015049",45
"ENST00000972713","ENSE00004015050",69
"ENST00000972713","ENSE00004015052",46
"ENST00000972713","ENSE00004471751",140
"ENST00000972713","ENSE00004471329",45
"ENST00000972713","ENSE00004471332",69
"ENST00000972713","ENSE00004471749",363
"ENST00000972758","ENSE00004014872",33
"ENST00000972758","ENSE00004014873",48
"ENST00000972758","ENSE00004014874",45
"ENST00000972758","ENSE00004014875",69
"ENST00000972758","ENSE00004014876",48
"ENST00000972758","ENSE00004014877",51
"ENST00000972758","ENSE00004014878",114
"ENST00000972758","ENSE00004471471",118
"ENST00000972758","ENSE00004471377",316
"ENST00000711192","ENSE00004014780",162
"ENST00000711192","ENSE00004014781",132
"ENST00000711192","ENSE00004014782",48
"ENST00000711192","ENSE00004014783",65
"ENST00000711192","ENSE00004014784",62
"ENST00000711192","ENSE00004014785",109
"ENST00000711192","ENSE00004014786",388
"ENST00000711192","ENSE00004014787",163
"ENST00000711192","ENSE00004014788",185
"ENST00000711192","ENSE00004014789",133
"ENST00000711192","ENSE00004014790",144
"ENST00000711192","ENSE00004014791",123
"ENST00000711192","ENSE00004014792",351
"ENST00000625598","ENSE00003762709",923
"ENST00000627981","ENSE00003767995",923
"ENST00000629969","ENSE00003768347",923
"ENST00000631211","ENSE00003763487",923
"ENST00000290349","ENSE00003643969",108
"ENST00000290349","ENSE00003846386",381
"ENST00000290349","ENSE00001044162",719
"ENST00000616815","ENSE00003741934",443
"ENST00000617716","ENSE00003726066",36
"ENST00000617716","ENSE00003746673",113
"ENST00000617716","ENSE00003741495",95
"ENST00000617716","ENSE00003735185",100
"ENST00000617716","ENSE00003723956",144
"ENST00000617716","ENSE00003716502",136
"ENST00000617716","ENSE00003720550",230
"ENST00000617716","ENSE00003719765",144
"ENST00000617716","ENSE00003736452",71
"ENST00000617716","ENSE00003722093",137
"ENST00000617716","ENSE00003744264",149
"ENST00000617716","ENSE00003754065",148
"ENST00000617716","ENSE00003752208",151
"ENST00000617716","ENSE00003746456",181
"ENST00000617716","ENSE00003731399",148
"ENST00000617716","ENSE00003725608",109
"ENST00000617716","ENSE00003727820",66
"ENST00000617716","ENSE00003735444",219
"ENST00000617716","ENSE00003741065",151
"ENST00000617716","ENSE00003715825",75
"ENST00000617716","ENSE00003718829",585
"ENST00000620528","ENSE00003752103",156
"ENST00000620528","ENSE00003727348",53
"ENST00000620528","ENSE00003759878",114
"ENST00000620528","ENSE00003754178",120
"ENST00000620528","ENSE00003724593",93
"ENST00000620528","ENSE00003722853",157
"ENST00000620528","ENSE00003747879",891
"ENST00000398168","ENSE00003931566",66
"ENST00000398168","ENSE00003734456",76
"ENST00000398168","ENSE00003733879",217
"ENST00000398168","ENSE00003743930",107
"ENST00000398168","ENSE00003734019",135
"ENST00000398168","ENSE00003745764",80
"ENST00000398168","ENSE00003736081",135
"ENST00000398168","ENSE00003749155",70
"ENST00000398168","ENSE00003729930",92
"ENST00000398168","ENSE00003724250",126
"ENST00000398168","ENSE00003742762",85
"ENST00000398168","ENSE00003719221",106
"ENST00000398168","ENSE00003746144",78
"ENST00000398168","ENSE00003743266",135
"ENST00000398168","ENSE00003747262",109
"ENST00000398168","ENSE00003753596",85
"ENST00000398168","ENSE00001531922",793
"ENST00000610664","ENSE00003758132",120
"ENST00000610664","ENSE00003714994",88
"ENST00000610664","ENSE00003749094",67
"ENST00000610664","ENSE00003720151",50
"ENST00000610664","ENSE00003759546",99
"ENST00000610664","ENSE00003755377",134
"ENST00000610664","ENSE00003756651",93
"ENST00000610664","ENSE00003756483",294
"ENST00000624561","ENSE00003755445",160
"ENST00000624561","ENSE00003758565",68
"ENST00000624561","ENSE00003754900",183
"ENST00000624561","ENSE00003759768",302
"ENST00000619874","ENSE00003756294",88
"ENST00000619874","ENSE00003718280",89
"ENST00000619874","ENSE00003716325",167
"ENST00000619874","ENSE00003723301",526
"ENST00000716301","ENSE00004029433",719
"ENST00000716301","ENSE00004029435",86
"ENST00000592875","ENSE00002759364",127
"ENST00000592875","ENSE00001294474",23
"ENST00000592875","ENSE00003593878",200
"ENST00000592875","ENSE00002944384",191
"ENST00000592875","ENSE00001536103",444
"ENST00000610527","ENSE00002944384",191
"ENST00000610527","ENSE00003512712",200
"ENST00000610527","ENSE00003719490",216
"ENST00000610527","ENSE00003720327",452
"ENST00000356501","ENSE00001097325",126
"ENST00000356501","ENSE00001011293",141
"ENST00000356501","ENSE00003787740",128
"ENST00000356501","ENSE00001011292",133
"ENST00000356501","ENSE00001388323",144
"ENST00000356501","ENSE00003585995",165
"ENST00000356501","ENSE00001422179",1040
"ENST00000679544","ENSE00002321395",231
"ENST00000679544","ENSE00002251727",65
"ENST00000679544","ENSE00003915512",5214
"ENST00000687762","ENSE00004136846",779
"ENST00000621909","ENSE00003744303",165
"ENST00000621909","ENSE00004155080",1986
"ENST00000621909","ENSE00004155091",313
"ENST00000617746","ENSE00003737671",165
"ENST00000617746","ENSE00004173735",252
"ENST00000617746","ENSE00004173748",2298
"ENST00000715454","ENSE00003766821",167
"ENST00000715454","ENSE00004177919",121
"ENST00000715454","ENSE00004177922",2293
"ENST00000412426","ENSE00003766821",167
"ENST00000412426","ENSE00004026817",158
"ENST00000412426","ENSE00004177906",128
"ENST00000412426","ENSE00004177921",2295
"ENST00000418954","ENSE00003766821",167
"ENST00000418954","ENSE00004177919",121
"ENST00000418954","ENSE00004177912",2298
"ENST00000794250","ENSE00003766821",167
"ENST00000794250","ENSE00004026817",158
"ENST00000794250","ENSE00001746958",1393
"ENST00000794250","ENSE00004177910",33
"ENST00000794251","ENSE00003766821",167
"ENST00000794251","ENSE00004177910",33
"ENST00000794251","ENSE00004177902",399
"ENST00000794753","ENSE00004178835",115
"ENST00000794753","ENSE00004178834",829
"ENST00000794754","ENSE00004178832",104
"ENST00000794754","ENSE00004178833",98
"ENST00000794754","ENSE00004178830",326
"ENST00000686128","ENSE00004060334",395
"ENST00000686128","ENSE00003982473",309
"ENST00000731795","ENSE00004061564",2150
"ENST00000474180","ENSE00001823971",414
"ENST00000623190","ENSE00004248273",253
"ENST00000623190","ENSE00004248260",2816
"ENST00000807420","ENSE00004201484",490
"ENST00000807420","ENSE00004201490",370
"ENST00000813044","ENSE00004212725",573
"ENST00000813044","ENSE00004212726",1068
