TXNAME	GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
BambuTx1	BambuGene1392	0	0	0	8	7	7
BambuTx2	BambuGene47	0	0	0	36	27	33
BambuTx3	BambuGene49	0	0	0	3	4	6
BambuTx4	ENSG00000299237	0	5	4	7	0	0
BambuTx5	BambuGene1448	8	4	17	12	26	18
BambuTx6	BambuGene1453	14	13	13	7	16	12
BambuTx7	ENSG00000228150	6	3	2	4	7	7
BambuTx8	ENSG00000173614	0	0	0	260	255	222
BambuTx9	ENSG00000175279	6	7	9	39	71	49
BambuTx10	ENSG00000251503	15	9	19	51	67	70
BambuTx11	ENSG00000241563	2	8	3	20	21	19
BambuTx12	ENSG00000142655	104	90	129	517	586	481
BambuTx13	BambuGene1525	0	0	0	100	165	152
BambuTx14	ENSG00000293964	0	0	0	9	9	1
BambuTx15	ENSG00000219481	0	2	1	9	12	17
BambuTx16	BambuGene1560	27	18	28	7	1	0
BambuTx17	ENSG00000142794	0	0	1	7	6	4
BambuTx18	ENSG00000142794	1	8	1	8	22	7
BambuTx19	ENSG00000184454	65	100	120	16	9	11
BambuTx20	ENSG00000229162	0	0	0	18	33	18
BambuTx21	ENSG00000176092	30	67	49	23	28	24
BambuTx22	ENSG00000228589	17	17	22	96	79	77
BambuTx23	ENSG00000228589	0	7	0	766	680	678
BambuTx24	BambuGene1711	16	5	11	6	3	5
BambuTx25	ENSG00000284543	12	1	10	8	4	1
BambuTx26	BambuGene336	0	0	1	15	29	36
BambuTx27	BambuGene1825	0	0	0	7	3	6
BambuTx28	ENSG00000127124	13	17	13	5	8	7
BambuTx29	ENSG00000127124	48	30	35	4	2	4
BambuTx30	ENSG00000164010	14	12	31	17	38	23
BambuTx31	BambuGene1861	0	0	1	20	14	11
BambuTx32	ENSG00000116212	31	69	58	38	37	47
BambuTx33	ENSG00000116205	14	8	17	15	38	19
BambuTx34	ENSG00000162390	22	64	33	5	5	4
BambuTx35	ENSG00000162407	68	76	121	76	79	78
BambuTx36	ENSG00000226476	22	63	67	98	99	116
BambuTx37	ENSG00000237852	4	3	3	9	12	5
BambuTx38	ENSG00000308605	4	6	3	10	7	16
BambuTx39	ENSG00000308605	7	7	8	9	5	8
BambuTx40	BambuGene2033	0	0	0	4	8	4
BambuTx41	ENSG00000162616	5	7	5	8	17	21
BambuTx42	BambuGene2044	47	75	64	2	2	2
BambuTx43	BambuGene583	1	1	3	10	7	10
BambuTx44	ENSG00000233008	6	5	11	25	22	11
BambuTx45	BambuGene634	9	15	14	4	10	6
BambuTx46	ENSG00000137936	122	142	161	44	58	49
BambuTx47	ENSG00000137962	88	89	103	3	0	0
BambuTx48	ENSG00000143036	2	9	5	92	87	89
BambuTx49	ENSG00000287919	0	0	0	7	10	13
BambuTx50	ENSG00000188641	8	39	37	7	14	15
BambuTx51	ENSG00000297419	0	0	0	18	22	29
BambuTx52	ENSG00000297419	1	5	0	30	33	27
BambuTx53	ENSG00000122435	205	271	344	298	221	246
BambuTx54	ENSG00000304336	0	0	1	35	39	41
BambuTx55	ENSG00000304336	1	4	6	122	142	133
BambuTx56	ENSG00000143119	0	1	0	7	4	2
BambuTx57	ENSG00000303525	0	0	0	4	13	11
BambuTx58	ENSG00000134253	6	27	12	14	14	13
BambuTx59	ENSG00000308561	85	61	54	30	26	24
BambuTx60	ENSG00000270872	27	3	12	164	183	185
BambuTx61	ENSG00000186141	56	82	94	59	45	74
BambuTx62	ENSG00000186364	7	9	10	84	88	85
BambuTx63	ENSG00000131788	27	87	63	51	70	75
BambuTx64	ENSG00000270276	85	145	183	1183	901	1034
BambuTx65	BambuGene794	15	29	52	28	46	24
BambuTx66	BambuGene2230	108	126	148	227	241	204
BambuTx67	ENSG00000143450	50	78	93	60	59	46
BambuTx68	ENSG00000143450	0	0	0	131	133	93
BambuTx69	ENSG00000182134	17	24	16	186	218	189
BambuTx70	ENSG00000238279	401	340	420	385	429	322
BambuTx71	ENSG00000160678	17	8	6	233	268	202
BambuTx72	ENSG00000285867	12	20	21	42	67	73
BambuTx73	ENSG00000225082	0	0	0	15	8	12
BambuTx74	ENSG00000225082	0	7	3	21	15	10
BambuTx75	BambuGene2345	119	69	21	253	196	249
BambuTx76	ENSG00000143303	56	66	67	62	64	55
BambuTx77	ENSG00000289721	0	0	1	7	18	17
BambuTx78	ENSG00000289721	4	3	3	17	40	26
BambuTx79	ENSG00000163568	3	12	0	112	124	123
BambuTx80	BambuGene966	10	12	18	34	28	15
BambuTx81	ENSG00000158769	127	107	144	172	202	166
BambuTx82	BambuGene988	27	36	37	22	18	21
BambuTx83	ENSG00000143217	12	9	9	72	82	74
BambuTx84	ENSG00000162746	1	0	7	15	20	18
BambuTx85	ENSG00000307516	0	0	0	34	73	45
BambuTx86	ENSG00000143248	0	0	1	15	14	10
BambuTx87	ENSG00000143248	0	0	0	20	23	24
BambuTx88	ENSG00000232995	0	2	1	20	26	27
BambuTx89	ENSG00000232995	8	3	1	9	4	2
BambuTx90	ENSG00000297093	2	9	20	11	10	7
BambuTx91	BambuGene2444	0	0	0	10	18	7
BambuTx92	ENSG00000197959	18	47	38	54	34	59
BambuTx93	ENSG00000180999	1	13	12	4	1	3
BambuTx94	BambuGene1021	4	9	5	7	7	8
BambuTx95	BambuGene2462	70	149	165	1055	1147	1007
BambuTx96	ENSG00000273384	0	7	5	21	20	13
BambuTx97	BambuGene2472	16	27	37	8	12	11
BambuTx98	ENSG00000116668	1	1	6	22	8	9
BambuTx99	ENSG00000203724	32	41	48	175	148	148
BambuTx100	BambuGene2537	3	4	5	35	39	37
BambuTx101	BambuGene1084	2	4	4	7	7	12
BambuTx102	BambuGene2563	12	9	7	10	6	4
BambuTx103	ENSG00000163485	4	8	1	5	0	2
BambuTx104	ENSG00000299041	7	10	11	19	22	16
BambuTx105	BambuGene2597	1	3	8	6	12	3
BambuTx106	ENSG00000170498	7	7	14	18	7	13
BambuTx107	ENSG00000186007	136	196	239	193	198	163
BambuTx108	ENSG00000186007	58	89	99	95	100	112
BambuTx109	ENSG00000281406	1	6	6	4	7	2
BambuTx110	ENSG00000295836	15	13	7	5	4	3
BambuTx111	ENSG00000162892	0	0	1	29	47	54
BambuTx112	ENSG00000185523	6	5	4	8	2	2
BambuTx113	ENSG00000174606	7	18	17	92	114	112
BambuTx114	ENSG00000174606	0	0	1	61	3	70
BambuTx115	ENSG00000162814	9	7	13	24	43	16
BambuTx116	BambuGene1206	32	5	13	16	16	10
BambuTx117	BambuGene2664	4	2	1	4	8	13
