"ensembl_transcript_id","symbol","exp","chromosome_name","ensembl_gene_id","external_gene_name","transcript_length","gene_biotype","transcript_biotype","num_exons"
"ENST00000001008","FKBP4-201","Upregulated","12","ENSG00000004478","FKBP4",3715,"protein_coding","protein_coding",10
"ENST00000002501","DBNDD1-201","Upregulated","16","ENSG00000003249","DBNDD1",2056,"protein_coding","protein_coding",4
"ENST00000002596","HS3ST1-201","Upregulated","4","ENSG00000002587","HS3ST1",7160,"protein_coding","protein_coding",2
"ENST00000003100","CYP51A1-201","Downregulated","7","ENSG00000001630","CYP51A1",3155,"protein_coding","protein_coding",10
"ENST00000004982","HSPB6-201","Downregulated","19","ENSG00000004776","HSPB6",1460,"protein_coding","protein_coding",3
"ENST00000005257","RALA-201","Downregulated","7","ENSG00000006451","RALA",2787,"protein_coding","protein_coding",5
"ENST00000005259","BCAP29-201","Downregulated","7","ENSG00000075790","BCAP29",2911,"protein_coding","protein_coding",8
"ENST00000005260","BAIAP2L1-201","Downregulated","7","ENSG00000006453","BAIAP2L1",3645,"protein_coding","protein_coding",14
"ENST00000005995","PRSS21-201","Upregulated","16","ENSG00000007038","PRSS21",1091,"protein_coding","protein_coding",6
"ENST00000006275","TRAPPC6A-201","Upregulated","19","ENSG00000007255","TRAPPC6A",805,"protein_coding","protein_coding",6
"ENST00000006658","SPATA20-201","Upregulated","17","ENSG00000006282","SPATA20",2634,"protein_coding","protein_coding",17
"ENST00000006777","RHBDD2-201","Upregulated","7","ENSG00000005486","RHBDD2",1721,"protein_coding","protein_coding",4
"ENST00000007264","RPUSD1-201","Upregulated","16","ENSG00000007376","RPUSD1",2048,"protein_coding","protein_coding",6
"ENST00000007390","TSR3-201","Downregulated","16","ENSG00000007520","TSR3",1210,"protein_coding","protein_coding",6
"ENST00000007699","YBX2-201","Upregulated","17","ENSG00000006047","YBX2",1654,"protein_coding","protein_coding",9
"ENST00000009041","STARD3NL-201","Downregulated","7","ENSG00000010270","STARD3NL",1703,"protein_coding","protein_coding",9
"ENST00000009180","CD9-201","Upregulated","12","ENSG00000010278","CD9",1225,"protein_coding","protein_coding",8
"ENST00000009530","CD74-201","Downregulated","5","ENSG00000019582","CD74",1653,"protein_coding","protein_coding",9
"ENST00000013070","UBR7-201","Downregulated","14","ENSG00000012963","UBR7",3494,"protein_coding","protein_coding",11
"ENST00000013807","ERCC1-201","Upregulated","19","ENSG00000012061","ERCC1",1278,"protein_coding","protein_coding",8
"ENST00000014914","GPRC5A-201","Upregulated","12","ENSG00000013588","GPRC5A",6582,"protein_coding","protein_coding",4
"ENST00000014930","HEBP1-201","Upregulated","12","ENSG00000013583","HEBP1",1159,"protein_coding","protein_coding",4
"ENST00000020945","SNAI2-201","Downregulated","8","ENSG00000019549","SNAI2",2180,"protein_coding","protein_coding",3
"ENST00000037869","FAM136A-201","Upregulated","2","ENSG00000035141","FAM136A",1786,"protein_coding","protein_coding",3
"ENST00000040663","MRI1-201","Upregulated","19","ENSG00000037757","MRI1",3178,"protein_coding","protein_coding",6
"ENST00000053867","GRN-201","Downregulated","17","ENSG00000030582","GRN",2130,"protein_coding","protein_coding",13
"ENST00000054950","RCN1-201","Downregulated","11","ENSG00000049449","RCN1",2369,"protein_coding","protein_coding",6
"ENST00000075120","SLC2A3-201","Downregulated","12","ENSG00000059804","SLC2A3",3827,"protein_coding","protein_coding",10
"ENST00000081029","MRPS35-201","Upregulated","12","ENSG00000061794","MRPS35",1829,"protein_coding","protein_coding",8
"ENST00000083182","APPBP2-201","Downregulated","17","ENSG00000062725","APPBP2",6492,"protein_coding","protein_coding",13
"ENST00000085068","ISOC2-201","Upregulated","19","ENSG00000063241","ISOC2",1122,"protein_coding","protein_coding",6
"ENST00000155926","TRIB2-201","Downregulated","2","ENSG00000071575","TRIB2",4344,"protein_coding","protein_coding",3
"ENST00000156626","ST6GALNAC1-201","Upregulated","17","ENSG00000070526","ST6GALNAC1",2489,"protein_coding","protein_coding",9
"ENST00000157600","LMCD1-201","Downregulated","3","ENSG00000071282","LMCD1",8284,"protein_coding","protein_coding",6
"ENST00000157812","PSMC4-201","Upregulated","19","ENSG00000013275","PSMC4",1754,"protein_coding","protein_coding",11
"ENST00000161006","PRSS22-201","Downregulated","16","ENSG00000005001","PRSS22",1383,"protein_coding","protein_coding",6
"ENST00000162044","TMEM161A-201","Upregulated","19","ENSG00000064545","TMEM161A",2251,"protein_coding","protein_coding",12
"ENST00000163416","GOLGA5-201","Downregulated","14","ENSG00000066455","GOLGA5",2879,"protein_coding","protein_coding",13
"ENST00000166139","FSTL3-201","Downregulated","19","ENSG00000070404","FSTL3",2501,"protein_coding","protein_coding",5
"ENST00000167588","KRT20-201","Upregulated","17","ENSG00000171431","KRT20",1804,"protein_coding","protein_coding",8
"ENST00000168216","HSD17B10-201","Upregulated","X","ENSG00000072506","HSD17B10",954,"protein_coding","protein_coding",6
"ENST00000169551","TIMM21-201","Downregulated","18","ENSG00000075336","TIMM21",3084,"protein_coding","protein_coding",6
"ENST00000171111","KEAP1-201","Downregulated","19","ENSG00000079999","KEAP1",2565,"protein_coding","protein_coding",6
"ENST00000173527","ISOC1-201","Upregulated","5","ENSG00000066583","ISOC1",1942,"protein_coding","protein_coding",5
"ENST00000176643","ALDH3A2-201","Downregulated","17","ENSG00000072210","ALDH3A2",3703,"protein_coding","protein_coding",10
"ENST00000177742","MRPS34-201","Upregulated","16","ENSG00000074071","MRPS34",1040,"protein_coding","protein_coding",3
"ENST00000178638","CA12-201","Downregulated","15","ENSG00000074410","CA12",6098,"protein_coding","protein_coding",11
"ENST00000179259","TIGAR-201","Downregulated","12","ENSG00000078237","TIGAR",8209,"protein_coding","protein_coding",6
"ENST00000184266","NDUFB4-201","Upregulated","3","ENSG00000065518","NDUFB4",651,"protein_coding","protein_coding",3
"ENST00000185150","ERLEC1-201","Downregulated","2","ENSG00000068912","ERLEC1",2446,"protein_coding","protein_coding",14
"ENST00000190983","CCN5-201","Downregulated","20","ENSG00000064205","CCN5",1279,"protein_coding","protein_coding",4
"ENST00000191018","CTSA-201","Downregulated","20","ENSG00000064601","CTSA",1898,"protein_coding","protein_coding",15
"ENST00000193322","OSTM1-201","Downregulated","6","ENSG00000081087","OSTM1",4471,"protein_coding","protein_coding",6
"ENST00000193403","ACTN1-201","Downregulated","14","ENSG00000072110","ACTN1",3799,"protein_coding","protein_coding",21
"ENST00000194118","DELE1-201","Upregulated","5","ENSG00000081791","DELE1",2203,"protein_coding","protein_coding",13
"ENST00000194214","IFT25-201","Upregulated","1","ENSG00000081870","IFT25",685,"protein_coding","protein_coding",6
"ENST00000196061","PLOD1-201","Downregulated","1","ENSG00000083444","PLOD1",2976,"protein_coding","protein_coding",19
"ENST00000196371","OXCT1-201","Downregulated","5","ENSG00000083720","OXCT1",3294,"protein_coding","protein_coding",17
"ENST00000196551","RPS5-201","Upregulated","19","ENSG00000083845","RPS5",741,"protein_coding","protein_coding",6
"ENST00000198767","RRN3-201","Downregulated","16","ENSG00000085721","RRN3",3706,"protein_coding","protein_coding",18
"ENST00000199448","EPDR1-201","Downregulated","7","ENSG00000086289","EPDR1",2515,"protein_coding","protein_coding",3
"ENST00000199706","MRPL28-201","Upregulated","16","ENSG00000086504","MRPL28",1524,"protein_coding","protein_coding",6
"ENST00000199764","CEACAM6-201","Upregulated","19","ENSG00000086548","CEACAM6",2594,"protein_coding","protein_coding",6
"ENST00000200639","LAMP2-201","Downregulated","X","ENSG00000005893","LAMP2",6535,"protein_coding","protein_coding",9
"ENST00000200652","SLC22A4-201","Downregulated","5","ENSG00000197208","SLC22A4",2234,"protein_coding","protein_coding",10
"ENST00000201647","EPS8L1-201","Upregulated","19","ENSG00000131037","EPS8L1",2569,"protein_coding","protein_coding",20
"ENST00000202773","RPL6-201","Upregulated","12","ENSG00000089009","RPL6",921,"protein_coding","protein_coding",7
"ENST00000202834","TMEM230-201","Downregulated","20","ENSG00000089063","TMEM230",1435,"protein_coding","protein_coding",4
"ENST00000202917","OAS1-201","Downregulated","12","ENSG00000089127","OAS1",1631,"protein_coding","protein_coding",6
"ENST00000202967","SIRT4-201","Upregulated","12","ENSG00000089163","SIRT4",1217,"protein_coding","protein_coding",4
"ENST00000203407","UQCRC1-201","Upregulated","3","ENSG00000010256","UQCRC1",1595,"protein_coding","protein_coding",13
"ENST00000203630","MLF2-201","Upregulated","12","ENSG00000089693","MLF2",1555,"protein_coding","protein_coding",9
"ENST00000203664","OTUB2-201","Upregulated","14","ENSG00000089723","OTUB2",3911,"protein_coding","protein_coding",6
"ENST00000204679","GNPTG-201","Downregulated","16","ENSG00000090581","GNPTG",1975,"protein_coding","protein_coding",11
"ENST00000205402","DLD-201","Downregulated","7","ENSG00000091140","DLD",3537,"protein_coding","protein_coding",14
"ENST00000205636","CMTM6-201","Downregulated","3","ENSG00000091317","CMTM6",3307,"protein_coding","protein_coding",4
