TXNAME	R2_HCC827	R3_HCC827	R1_HCC827	R3_H1975	R1_H1975	R2_H1975
ENST00000000233	7095.46084	7478.24777	7774.71139	8677.57343	9685.28518	9534.58485
ENST00000000412	437.58071	886.29081	867.56641	852.69776	981.0338	898.61122
ENST00000000442	0	2.47812	0	0	0	3.52505
ENST00000001008	3420.10164	2809.0968	2949.77346	1103.12502	1194.42012	1259.47551
ENST00000002125	80.65405	146.94841	129.15914	175.40244	212.53492	213.98079
ENST00000002165	1567.89846	1463.5524	1803.23912	1627.18197	1764.94481	2060.07892
ENST00000002501	114.65071	320.50803	178.27633	34.76111	64.89456	76.68147
ENST00000002596	344.54037	427.85011	491.76827	107.9946	118.34278	130.22819
ENST00000003100	653.6864	660.52545	985.93242	1932.58926	1549.35859	1685.90601
ENST00000003583	0	1.60693	1.50356	16.30691	32.2847	29.70254
ENST00000003912	332.11316	105.32385	250.44823	188.83809	203.5976	155.15879
ENST00000004982	1	0	0	965.21928	1030.8007	1081.15149
ENST00000005082	57.54104	46.779	56.64877	70.83709	61.47028	56.1837
ENST00000005257	1294.48839	1475.70735	1954.9422	4634.51895	4531.22252	4700.77796
ENST00000005259	101.57732	259.68432	290.61188	864.34576	945.8513	972.98114
ENST00000005260	41.60443	164.75893	88.07604	981.39618	187.02441	866.31304
ENST00000005340	967.91897	401.98683	478.4078	329.41191	316.89024	317.75852
ENST00000005374	38.80943	23.3793	33.08232	46.85353	74.64469	49.96366
ENST00000005386	276.25388	270.83688	222.13454	325.44442	328.64709	338.72916
ENST00000005558	8.56029	4.28453	5.68077	10.53846	7.35229	9.54148
ENST00000005995	1519.87044	1713.00125	1642.83602	1109.37567	1196.98283	1133.58879
ENST00000006053	51.48207	173.89938	282.22907	270.55391	325.65145	375.97269
ENST00000006251	0	0	0	0	0	1.67228
ENST00000006275	411.09068	340.41488	389.68334	347.95478	360.98174	435.58546
ENST00000006658	633.56534	574.8711	642.22018	276.72065	292.02726	300.55807
ENST00000006777	1314.54147	2120.23337	2011.80134	1118.19551	1193.23316	1196.43026
ENST00000007264	129.09322	299.41087	191.20061	163.39905	145.23638	196.72583
ENST00000007390	809.01234	299.66193	390.44475	412.84918	523.20532	517.26042
ENST00000007414	7.74229	24.07107	13.67117	6.35104	5.93293	10.7108
ENST00000007516	3995.61399	4884.10167	6739.85641	8360.43276	10082.19718	8458.93035
ENST00000007699	77.71663	98.85519	65.21937	15.50683	38.76661	38.24844
ENST00000007969	66.05019	48.28176	54.25332	33.30187	48.60813	43.24003
ENST00000008527	123.73337	86.10522	25.75612	102.51427	780.16879	322.33784
ENST00000009041	349.6821	571.84313	668.15277	1179.98702	1393.71857	1343.18132
ENST00000009180	7090.58247	9829.13746	11687.1198	9324.73748	11113.4302	8977.46462
ENST00000009530	18.29394	30.27092	14.70137	725.70272	792.74691	709.16853
ENST00000009589	44476.01138	55289.14985	82267.77964	68205.12404	90739.13956	70391.18139
ENST00000011473	0	0	0	3.66258	7.34504	7.37494
